id,umap_x,umap_y,syllable_type
11.0,13.612173,5.3909264,Flat
12.0,8.838859,-0.02717161,Flat
13.0,8.734662,-0.55079055,Chevron
1.0,13.5955305,0.93545145,Short
2.0,8.46242,-0.31453303,Chevron
3.0,8.471684,-0.3144097,Chevron
4.0,2.1769912,-3.7961674,Short
5.0,4.5067058,-2.9213352,Chevron
6.0,4.3848925,-1.994558,Chevron
7.0,3.1555889,-2.7904384,Complex
8.0,10.4304,1.6250808,Down
9.0,3.0187259,-3.0520518,Complex
10.0,5.1287436,-2.421774,Up
11.0,5.350455,-5.818695,Complex
12.0,5.8039856,-5.378745,Complex
13.0,2.624112,-4.019841,Complex
14.0,7.902703,-4.482066,Up
1.0,10.914881,-0.5800227,Up
1.0,12.517307,4.0651693,Down
2.0,2.3069773,-2.9212892,Complex
3.0,4.1788387,-2.2269022,Down
1.0,5.6011796,-4.9841657,Complex
2.0,2.5869923,-4.123765,Short
1.0,4.182457,-3.3041928,Chevron
2.0,9.128881,2.6283298,Flat
3.0,3.4840784,-2.691694,Complex
4.0,5.2861037,-2.247543,Chevron
5.0,5.144131,-1.3168731,Up
6.0,5.472292,-2.449971,Chevron
7.0,5.299611,-2.4978218,Chevron
8.0,3.546978,-1.5323155,Short
9.0,5.3822756,-2.2968621,Chevron
10.0,2.1201415,-3.2323446,Complex
11.0,12.267641,5.8734665,Short
12.0,4.022017,-4.4234533,Short
13.0,4.3797026,-3.3502374,Chevron
14.0,5.4114523,-2.3131673,Chevron
15.0,4.1946635,-2.6346488,Complex
16.0,2.7956152,-3.14768,Complex
17.0,2.5699868,-3.4110944,Complex
18.0,4.0502844,-4.110848,Short
1.0,3.9853694,-1.743075,Down
2.0,3.2206998,0.8656931,Chevron
3.0,2.6920495,1.1315675,Chevron
4.0,13.029588,1.2460825,Short
5.0,2.685529,-2.8929,Complex
6.0,13.582848,5.3086996,Short
7.0,5.940758,-5.264226,Complex
1.0,2.5374308,-3.579779,Short
2.0,11.973279,4.8924966,Short
3.0,13.663526,6.164962,Short
4.0,13.647081,6.1785407,Short
5.0,11.977535,4.928543,Short
6.0,5.895714,-5.1934533,Complex
7.0,13.589564,5.2301126,Short
8.0,4.9939113,-2.755851,Chevron
9.0,3.0226426,-2.9268262,Complex
1.0,4.459807,-2.5018475,Down
2.0,5.6071434,-5.5768905,Complex
3.0,6.540758,-5.5815706,Complex
4.0,13.676752,4.8063164,Flat
5.0,9.158772,-0.9170083,Chevron
6.0,9.180037,-0.9214419,Chevron
7.0,6.80413,-5.3322406,Complex
8.0,8.743789,-0.60830617,Chevron
9.0,6.446271,-5.5855527,Complex
10.0,5.6835923,-5.390598,Complex
1.0,13.905148,3.4379761,Short
2.0,3.5129611,-3.0763416,Complex
3.0,3.5060992,-3.4436755,Short
4.0,4.256704,-3.7865827,Chevron
5.0,2.2470047,-3.098497,Complex
1.0,4.327935,-3.6854947,Chevron
2.0,3.3014002,-2.8905609,Complex
3.0,5.3752756,-5.8142633,Complex
4.0,4.0409393,-4.419776,Short
5.0,14.165127,3.5790067,Short
1.0,5.586577,-5.4983335,Complex
2.0,7.1766634,-5.4207478,Short
3.0,7.0138707,-5.359628,Short
1.0,5.7761817,-5.672277,Complex
2.0,5.1473036,-3.9346118,Complex
3.0,15.074358,2.6515493,Up
4.0,14.163088,3.5813568,Short
5.0,14.19473,4.339151,Short
6.0,3.101258,-3.3172605,Short
7.0,5.241156,-4.0100226,Chevron
1.0,2.8700643,-4.138406,Short
2.0,2.8541546,-3.7548802,Complex
3.0,1.8099467,-4.426001,Short
4.0,13.389165,4.453231,Short
5.0,5.2060103,-2.4344594,Chevron
6.0,11.551459,5.573071,Short
1.0,12.886342,1.6047376,Flat
2.0,4.5469704,-0.59895086,Chevron
1.0,4.635333,-3.1012876,Chevron
2.0,10.560735,5.227092,Flat
3.0,9.557129,2.3691792,Chevron
4.0,4.4940786,-0.8861852,Chevron
1.0,3.8636658,-3.2217839,Complex
2.0,4.6365905,-3.1724374,Up
3.0,14.322927,1.6058608,Short
1.0,6.457806,-5.3547354,Complex
2.0,13.928907,3.833064,Short
3.0,12.9013815,6.288593,Short
4.0,8.831337,-0.48097342,Frequency_Jump
5.0,12.629732,3.7412312,Up
6.0,12.070587,5.617194,Short
1.0,14.590197,3.7275379,Short
2.0,4.4316316,-4.195316,Chevron
3.0,6.117719,-5.2892623,Chevron
4.0,6.4963636,-5.0200095,Chevron
1.0,5.858233,-4.9776907,Complex
2.0,9.824893,2.55894,Down
3.0,9.255981,-0.97581875,Chevron
4.0,13.672896,1.5738847,Short
5.0,4.115509,-4.268977,Short
1.0,5.1961565,-5.542168,Complex
2.0,5.591471,-5.551993,Complex
3.0,3.5735521,-2.9074879,Complex
4.0,5.355908,-5.7819324,Complex
5.0,5.583409,-5.6339717,Complex
6.0,7.07926,-5.2414856,Complex
7.0,13.555537,4.0796175,Short
8.0,4.470126,-2.9526803,Chevron
1.0,12.841124,5.8328624,Short
2.0,4.5878634,-2.5204716,Chevron
3.0,4.440427,-3.1805322,Chevron
4.0,12.368833,5.4245276,Flat
1.0,4.0978746,0.41549924,Chevron
2.0,2.2263901,3.117688,Chevron
3.0,3.6104698,-1.2265614,Short
4.0,5.739956,-5.7585773,Complex
5.0,5.171733,-2.987394,Complex
1.0,4.909722,-1.0417938,Chevron
1.0,8.294504,-4.2693496,Short
2.0,8.292538,-4.27323,Short
3.0,8.28949,-4.2756653,Short
4.0,8.289177,-4.2769103,Short
5.0,8.284078,-4.2777066,Short
1.0,13.412147,1.2286389,Short
2.0,2.0957685,-3.274471,Complex
3.0,2.1425924,-3.1374404,Complex
4.0,2.3345604,-2.8738286,Complex
5.0,3.1061416,-3.8088615,Chevron
1.0,13.171802,-0.4148291,Short
2.0,5.951572,-5.106142,Chevron
3.0,4.300765,-3.330356,Chevron
4.0,5.361927,-2.4027615,Chevron
5.0,8.423516,-0.33813214,Frequency_Jump
6.0,10.119399,5.743316,Flat
7.0,4.2556443,-2.6520417,Chevron
8.0,2.5468626,-2.9715934,Complex
9.0,5.20964,-5.654101,Complex
10.0,2.5230644,-3.1620512,Complex
11.0,2.938784,-0.20813598,Complex
12.0,2.6233447,-3.302953,Complex
13.0,4.440485,-4.245575,Chevron
1.0,15.522461,2.98709,Short
