png,noise_rank,tier,traditional_label,wav_stem,det_start_s,det_end_s,call_length_s,principal_freq_hz,tonality,mean_power_db,det_prob_max,hdbscan_label,hdbscan_probability,umap_x,umap_y,verdict,couple,nn_center_gap_s,nn_edge_gap_s,nn_hdbscan_label,nn_start_s,nn_end_s
c0_110_auto_accept_Cluster_17_131210_1000_m4fm1_chunk_020_0p423s.png,110,auto_accept,Cluster_17,131210_1000_m4fm1_chunk_020,0.4232533333333333,0.4957866666666666,0.05576,70.22058823529412,0.1863517519666645,-99.27536041382405,0.9917912483215332,0,1.0,8.139958,8.385655,usv,m4fm1,0.1365333333333334,0.03413333333333335,2.0,0.52992,0.6621866666666667
c0_111_auto_accept_Cluster_14_131211_1800_m1fm4_chunk_225_0p641s.png,111,auto_accept,Cluster_14,131211_1800_m1fm4_chunk_225,0.6408533333333334,0.73472,0.0646799999999999,47.25806451612903,0.1929909422962189,-101.0457741670646,0.9963306784629822,0,1.0,10.622198,9.480009,usv,m1fm4,0.17706666666666682,0.08960000000000001,2.0,0.4701866666666666,0.5512533333333334
c0_112_auto_accept_Cluster_14_131211_1800_m4fm2_chunk_305_1p033s.png,112,auto_accept,Cluster_14,131211_1800_m4fm2_chunk_305,1.033386666666667,1.1528533333333333,0.0968599999999999,51.57142857142857,0.1837948504883755,-101.67111512387812,0.9636780023574828,0,0.8692063494328676,9.521677,8.358443,noise,m4fm2,0.2666666666666664,0.15359999999999996,0.0,1.3064533333333332,1.41312
c0_113_auto_accept_Cluster_14_131204_1400_m2fm2_chunk_286_0p261s.png,113,auto_accept,Cluster_14,131204_1400_m2fm2_chunk_286,0.26112,0.3208533333333333,0.04387,40.7258064516129,0.2503551728920305,-93.63474045000974,0.9404119253158568,0,1.0,10.162957,8.754259,usv,m2fm2,0.1770666666666667,0.05546666666666672,2.0,0.0221866666666666,0.2056533333333333
c0_114_auto_accept_Cluster_14_131211_1800_m1fm4_chunk_099_0p969s.png,114,auto_accept,Cluster_14,131211_1800_m1fm4_chunk_099,0.9693866666666666,1.11872,0.0246999999999999,48.07692307692308,0.2232460347254758,-95.19495556484692,0.9994927644729614,0,0.8360887942483801,8.9519005,8.175634,usv,m1fm4,0.27306666666666657,0.14079999999999993,2.0,0.7133866666666666,0.8285866666666667
c0_115_auto_accept_Cluster_14_131212_1000_m2fm3_chunk_030_0p777s.png,115,auto_accept,Cluster_14,131212_1000_m2fm3_chunk_030,0.7773866666666667,0.9309866666666666,0.1247666666666665,51.51515151515152,0.1815663670643517,-101.57638500191572,0.952126443386078,0,1.0,10.648026,9.65462,noise,m2fm3,0.37760000000000016,0.25173333333333336,0.0,1.18272,1.2808533333333334
c0_116_auto_accept_Cluster_14_131218_1000_m3fm3_chunk_266_1p908s.png,116,auto_accept,Cluster_14,131218_1000_m3fm3_chunk_266,1.9080533333333327,1.97632,0.0585199999999999,52.27272727272727,0.1836091249484189,-98.8033536059766,0.9565616846084596,0,0.9050473566415668,8.950547,8.220326,noise,m3fm3,,,,,
c0_117_auto_accept_Cluster_14_131211_1800_m1fm4_chunk_075_0p786s.png,117,auto_accept,Cluster_14,131211_1800_m1fm4_chunk_075,0.78592,0.9181866666666668,0.13054,49.36503084108742,0.1928280062218633,-100.44345585773306,0.996519923210144,0,0.9240251898540682,9.212521,7.3415666,usv,m1fm4,0.2666666666666666,0.14079999999999993,2.0,0.5256533333333333,0.64512
c0_118_auto_accept_Cluster_14_131204_1400_m3fm3_chunk_067_0p718s.png,118,auto_accept,Cluster_14,131204_1400_m3fm3_chunk_067,0.7176533333333334,0.7944533333333333,0.0508666666666667,52.85714285714286,0.1968099283790135,-97.74336232379932,0.9968780279159546,0,1.0,9.729056,8.771819,usv,m3fm3,0.07680000000000009,0.012800000000000034,2.0,0.6536533333333333,0.7048533333333333
c0_119_auto_accept_Cluster_14_131211_1800_m2fm3_chunk_074_0p022s.png,119,auto_accept,Cluster_14,131211_1800_m2fm3_chunk_074,0.0221866666666666,0.1757866666666666,0.12214,51.51515151515152,0.1835765059411463,-102.5640742067782,0.9410589337348938,0,0.8386562178990868,9.683538,8.435309,noise,m2fm3,0.5077333333333334,0.3498666666666667,0.0,0.5256533333333333,0.6877866666666667
