stem,label,is_problem,event_idx,start_col,end_col,max_probability,mean_probability,n_total_columns,n_broadband_columns,n_tonal_columns,tonal_fraction,max_consecutive_tonal,mean_flatness,min_flatness,median_flatness,std_flatness
2024-09-30_14-35-46_0001068,auto_accept,0,1,4900,5400,0.999977707862854,0.9372742561733022,500,9,441,0.8981670061099797,161,0.1802551440576623,0.001708737634984147,0.08351379217473276,0.19198281669232106
2024-09-30_14-35-46_0001068,auto_accept,0,2,5460,5800,0.999996542930603,0.9746564950261797,340,4,306,0.9107142857142857,263,0.14619544623188238,0.0013589411938092959,0.048345967776456486,0.1884460811229452
2024-09-30_14-35-46_0001068,auto_accept,0,3,5860,6620,0.9999992847442627,0.8407378204457172,760,112,514,0.7932098765432098,226,0.24039872093625236,0.0012928292142994123,0.18421035141638598,0.20657103980942787
2024-09-30_14-35-46_0001068,auto_accept,0,4,6640,7020,0.999886155128479,0.9613854029239752,380,1,300,0.7915567282321899,248,0.2175861761270556,0.008275467142204892,0.1112255790780419,0.2066850805792785
2024-09-30_14-36-46_0001079,auto_accept,0,0,4480,5050,0.9999094009399414,0.9726635233081621,570,1,460,0.8084358523725835,220,0.3066773995823866,0.032344718928980006,0.28202872717988453,0.1716446952864307
2024-09-30_14-36-46_0001079,auto_accept,0,1,5120,5490,0.9999977350234985,0.9560959088174921,370,0,281,0.7594594594594595,237,0.2986810635166296,0.025447300609317852,0.24737687958299576,0.18733756046181776
2024-09-30_14-36-46_0001079,auto_accept,0,2,5580,5790,0.9998053908348083,0.933954035693949,210,0,107,0.5095238095238095,91,0.37939505410558866,0.0238378644228642,0.4958003866235519,0.21239844687077372
2024-09-30_14-36-46_0001079,auto_accept,0,3,5890,6500,0.9999661445617676,0.9891057543216213,610,0,520,0.8524590163934426,183,0.2870328704237207,0.012912209012588056,0.2642673513467561,0.16391915454505832
2024-09-30_14-36-46_0001079,auto_accept,0,4,6600,7090,0.9998036026954651,0.9612329423427581,490,0,376,0.7673469387755102,82,0.36967158802788663,0.04259857977136317,0.3932561441497907,0.1497885073557566
2024-09-30_14-36-46_0001079,auto_accept,0,5,7170,7570,0.9998797178268433,0.977115240038895,400,0,250,0.625,47,0.39388293521453105,0.03347666696885656,0.4464774044186327,0.17481685481999507
2024-09-30_14-36-46_0001079,auto_accept,0,6,7700,7990,0.9999606609344482,0.9653121570746104,290,0,189,0.6517241379310345,50,0.36169865568175147,0.05973892935564101,0.3704467982498496,0.1791797904283753
2024-09-30_14-36-46_0001079,auto_accept,0,7,8160,8270,0.9544190168380737,0.8967593709627787,110,0,26,0.23636363636363636,5,0.5351826011430515,0.3876591297024146,0.5396640363502887,0.05587719031965415
2024-09-30_14-36-46_0001079,auto_accept,0,8,9110,9310,0.9995604157447815,0.9284279091017587,200,0,86,0.43,53,0.45364856255890146,0.054253803369777615,0.5202954656054841,0.15752637643882586
2024-09-30_14-36-51_0001080,auto_accept,0,0,2240,2630,0.9997615218162537,0.9604971244931221,390,0,300,0.7692307692307693,95,0.3408976404510636,0.06419551706731787,0.3302352428285378,0.16645195411639568
