stem,label,is_problem,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_11-33-42_0000193,auto_accept,0,2,0.09815933377669625,0.5023057902535248,0.5,16
2024-09-30_11-34-13_0000197,auto_accept,0,13,0.004544493707154171,0.39351135203418547,0.9738805970149254,169
2024-09-30_11-34-16_0000198,auto_accept,0,9,0.0013843247809877254,0.2945887285209499,0.889763779527559,354
2024-09-30_11-34-42_0000199,auto_accept,0,9,0.0056907597995912084,0.36445618042984457,0.9336099585062241,284
2024-09-30_11-35-00_0000201,auto_accept,0,7,0.0003538855008501345,0.3233255245463714,0.9285714285714286,331
2024-09-30_11-36-17_0000209,auto_accept,0,10,0.005100829406539008,0.3104992200359141,0.9923954372623575,269
2024-09-30_11-36-48_0000210,auto_accept,0,6,0.017855482591332312,0.45011962979675507,0.7405405405405405,234
2024-09-30_11-37-16_0000215,auto_accept,0,12,0.011903698688443388,0.35722468754069076,0.9610894941634242,95
2024-09-30_11-37-54_0000220,auto_accept,0,2,0.15769716365703423,0.4817992596485944,0.6653543307086615,32
2024-09-30_11-38-06_0000221,auto_accept,0,1,0.008402989626833682,0.27914956868133717,0.7698412698412699,186
2024-09-30_11-38-46_0000228,auto_accept,0,7,0.002204492975405872,0.36808660019540346,0.9156626506024096,174
2024-09-30_11-39-51_0000235,auto_accept,0,5,0.014596319787863158,0.4242203048499671,0.8176229508196722,112
2024-09-30_11-40-34_0000243,auto_accept,0,1,0.07892201809616702,0.4021481681881736,0.6714285714285714,46
2024-09-30_11-41-14_0000249,auto_accept,0,3,0.036679594294052854,0.3985025550279058,0.7,176
2024-09-30_11-41-29_0000251,auto_accept,0,6,0.00509699104674677,0.30500831604113626,0.8389261744966443,255
2024-09-30_11-41-47_0000254,auto_accept,0,12,0.010424647481254302,0.3915962139757357,0.935251798561151,240
2024-09-30_11-42-19_0000256,auto_accept,0,7,0.002429830189146946,0.3374786708592784,0.96875,157
2024-09-30_11-43-18_0000265,auto_accept,0,2,0.012355288870633434,0.3096254595060734,0.8916876574307305,82
2024-09-30_11-43-45_0000267,auto_accept,0,8,0.01958219581142478,0.4402045248064569,0.6653846153846154,107
2024-09-30_11-44-01_0000270,auto_accept,0,9,0.0024290132971725325,0.33674409439010666,0.9498680738786279,225
2024-09-30_11-44-25_0000272,auto_accept,0,3,0.05451394150012365,0.456475872307972,0.8034285714285714,86
2024-09-30_11-44-35_0000274,auto_accept,0,6,0.013159777417741585,0.3597460010033406,0.8916666666666667,194
2024-09-30_11-45-16_0000279,auto_accept,0,8,0.0014001931049663133,0.35449296965334776,0.956989247311828,473
2024-09-30_11-45-54_0000286,auto_accept,0,13,0.013074004396600307,0.37598460913272763,0.8785714285714286,251
2024-09-30_11-45-59_0000287,auto_accept,0,3,0.029227375903727777,0.4314160793242045,0.718421052631579,144
2024-09-30_11-46-27_0000290,auto_accept,0,3,0.05077645497205086,0.46028948900388017,0.47333333333333333,60
2024-09-30_11-46-36_0000291,auto_accept,0,1,0.06707401975681476,0.3678046251747989,0.6210526315789474,46
2024-09-30_11-46-56_0000295,auto_accept,0,3,0.005077443297562896,0.34825236311760666,0.7023255813953488,86
2024-09-30_11-47-06_0000298,auto_accept,0,19,0.003450865944401483,0.3598044502966861,0.8045454545454546,248
2024-09-30_11-47-11_0000299,auto_accept,0,3,0.028949946884684538,0.34342768211501057,0.7923728813559322,171
