epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl,lr
27,229.0212648351001,202.33553669044068,26.685728024693493,244.48817879813058,222.46969576365387,22.018483346508397,0.00025
28,228.65983483809237,201.9359333194616,26.72390158136525,238.8046899962535,210.6558550294094,28.148835626066006,0.00025
29,228.55177156566128,201.74256704146643,26.809204520893044,244.53558620329827,207.3755369757727,37.16004943847656,0.00025
30,228.3056157591435,201.42638557024657,26.879229877425697,236.27890169345838,210.78589222288352,25.493008995935114,0.00025
31,227.93184487969629,201.1299447061282,26.801900095425104,241.0189438920966,209.1252955775107,31.89364773007582,0.00025
32,227.76118348611962,200.90219597835727,26.858987507762347,232.8092784969488,205.26218992663968,27.54708846043881,0.00025
33,227.56629258831043,200.66109982076162,26.905192809371815,233.03546771915276,205.35657673497354,27.678891107233987,0.00025
34,227.31542368259858,200.39684060124807,26.918583053835402,238.2958745297199,217.19547858875467,21.100395916793754,0.00025
35,227.17399941437242,200.21721935767488,26.95677998956063,236.66617907686717,211.7330587360716,24.933121043965564,0.00025
36,226.95317924662402,199.98187395856343,26.971305508181597,234.11035458613102,208.18248963246148,25.92786470316522,0.00025
37,226.77911677198196,199.78998187505917,26.989134982769983,237.28114797003258,207.3360330608034,29.945114395036125,0.00025
38,226.63509163303453,199.61839064187006,27.016700917423908,234.05992446407194,204.1750555433985,29.88486882398755,0.00025
39,226.4883328551718,199.43821587317677,27.050117249442057,233.95365592851067,205.2120843702747,28.74157192740023,0.00025
40,226.29448007450446,199.23189827753365,27.06258176505325,236.971192953224,205.44075704829484,31.53043530283985,0.00025
41,226.20765698361933,199.13206794065198,27.075588996741928,266.7187969717562,250.29818359937536,16.42061340314452,0.00025
42,226.00986548069923,198.9218094215459,27.088056087769047,244.65606879309027,224.83819935178977,19.817869417129025,0.00025
43,225.84270578990834,198.785575602554,27.057130184052518,236.7446992935673,214.39537410472394,22.349325158079647,0.00025
44,225.68721698600297,198.57327672008552,27.113940401291888,234.53605349492366,207.89996193740774,26.63609144764562,0.00025
45,225.59881492302173,198.43112383807798,27.16769118619942,234.6843005764869,203.0665094753564,31.617791470294723,0.00025
46,225.4411474052909,198.24414200295757,27.19700540563514,235.10509473387546,209.42791368335074,25.67718130981867,0.00025
47,225.36411343072098,198.20158354973285,27.16253002846922,234.46780908821916,203.14445912233697,31.32334998346144,0.00025
48,225.20614541257933,198.00511882185455,27.20102639261588,245.0358369537213,213.5974383376161,31.438399011638307,0.00025
49,225.09117066591926,197.85478831190494,27.236382438760923,297.61274898546634,282.432360178864,15.180388604440997,0.00025
50,224.96617274386168,197.76949386464608,27.196678980471287,233.43768528529577,203.8770349564091,29.5606500915668,0.00025
51,224.80299839695547,197.59339418757946,27.209604235790536,235.58345327069682,207.9308118336761,27.65264090085359,0.00025
52,224.76619753477138,197.51896333336762,27.247234148574716,238.49264396280736,217.67370837514852,20.81893574587211,0.00025
53,224.6000064645141,197.374513708644,27.225493009009256,233.8395019390616,205.03131808443553,28.808183823862382,0.00025
54,224.48234616217417,197.2252963374821,27.257050104245792,236.95589724773635,208.37445687148977,28.581440033451205,0.00025
55,224.3806980879267,197.1384661058711,27.242232081110053,235.21155590285903,211.81935861473258,23.39219723538869,0.00025
56,224.38375764682812,197.05947444539365,27.324283348915554,241.12220771191858,220.73690205235636,20.385305751853274,0.00025
57,224.20401980955342,196.92806683258038,27.275953030902667,234.97186026155674,211.66248961417907,23.30937069572062,0.00025
