stem,label,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_22-36-29_0003503,1960_problem,1,0.4980895110629355,0.5529420167126698,0.06666666666666667,1
2024-09-30_23-36-39_0003777,auto_accept,2,0.11639215239034952,0.4857927143706901,0.45217391304347826,23
2024-09-30_23-37-29_0003781,1960_problem,1,0.45447153067256574,0.5498333890133441,0.16363636363636364,4
2024-09-30_23-39-35_0003794,1960_problem,1,0.41457857249256197,0.5498087141930867,0.07142857142857142,2
2024-10-01_12-20-03_0005107,1960_problem,1,0.471450093415938,0.5559392618536048,0.15,2
2024-10-01_17-16-29_0005631,auto_accept,1,0.09299052352590238,0.42910109031664545,0.7189542483660131,37
2024-10-01_17-18-59_0005656,1960_problem,9,0.17700247954108478,0.5608129123131973,0.2011173184357542,7
2024-10-01_18-29-16_0006086,1960_problem,1,0.44639438691914135,0.5579007116581008,0.11428571428571428,3
2024-10-01_18-53-22_0006231,auto_accept,2,0.16298160718724633,0.504581834284032,0.505,18
2024-10-01_18-54-01_0006241,auto_accept,3,0.16479767081398078,0.49905512097463145,0.5142857142857142,32
2024-10-01_19-36-17_0006529,auto_accept,4,0.0759010650429081,0.4945295079462535,0.42857142857142855,28
