file,id,label,accepted,score,begin_time_s,end_time_s,call_length_s,principal_freq_hz,low_freq_hz,high_freq_hz,bandwidth_hz,freq_std_dev_hz,slope,sinuosity,mean_power_db,tonality,peak_freq_khz,source_file,wav_stem,det_start_s,det_end_s,det_duration_ms,det_index,det_prob_max,det_prob_mean,det_user_action,det_json_path,match_quality,match_distance_ms,umap_x,umap_y,hdbscan_label,hdbscan_probability
2024-10-05_23-18-43_0004955,8,Cluster_9,1,1,2.39834,2.4000733333333333,0.0017333333333331,60.71428571428572,60.71428571428572,83.57142857142857,22.85714285714285,9.232447954800245,5769.230769230775,6.89574589652548,-79.23384672826171,0.1831304075652298,60.71428571428572,classified_Stats.xlsx,2024-10-05_23-18-43_0004955,2.3816533333333334,2.42432,42.66666666666641,7,0.9559898376464844,0.8753491748463024,,results/batch_3452_sample/detections/2024-10-05_23-18-43_0004955.json,fuzzy,16.687,3.9999552,16.290092,3,1.0
2024-10-05_23-18-59_0004956,1,Cluster_10,1,1,0.8320799999999999,0.8338399999999999,0.0017599999999999,63.63636363636364,63.63636363636364,64.77272727272728,1.1363636363636402,0.6224119971649597,774.7933884297519,1.0706040453940169,-73.25733269823579,0.220310645336045,64.77272727272728,classified_Stats.xlsx,2024-10-05_23-18-59_0004956,0.8157866666666667,0.8840533333333334,68.2666666666667,0,0.9983114004135132,0.9457413764560924,,results/batch_3452_sample/detections/2024-10-05_23-18-59_0004956.json,fuzzy,16.293,5.837241,11.1108055,2,0.8770174670365976
2024-10-05_23-18-59_0004956,2,Cluster_10,1,1,1.02572,1.05388,0.0281599999999999,64.84375,61.328125,75.390625,14.0625,5.978863301388415,552.0998292354584,1.0484077466014874,-71.86724927864374,0.2349002855443776,62.5,classified_Stats.xlsx,2024-10-05_23-18-59_0004956,1.0077866666666666,1.0717866666666669,64.00000000000006,1,0.9995809197425842,0.9716156683862208,,results/batch_3452_sample/detections/2024-10-05_23-18-59_0004956.json,fuzzy,17.933,3.3335104,13.625914,3,1.0
2024-10-05_23-18-59_0004956,3,Cluster_31,1,1,1.46772,1.5004,0.03268,65.43478260869566,62.82608695652174,124.1304347826087,61.30434782608696,16.15645834748707,-503.1786675529786,4.482893765087076,-78.41288927576072,0.1940294498174812,64.13043478260869,classified_Stats.xlsx,2024-10-05_23-18-59_0004956,1.46432,1.51552,51.19999999999991,2,0.9874666333198548,0.9021995892891516,,results/batch_3452_sample/detections/2024-10-05_23-18-59_0004956.json,fuzzy,3.4,4.748144,17.632595,3,1.0
2024-10-05_23-19-04_0004957,1,Cluster_1,1,1,1.0303466666666667,1.0517666666666667,0.0214199999999999,79.2016806722689,76.68067226890756,79.2016806722689,2.52100840336135,0.6798654075259596,-26.13726926981644,1.0299762972650497,-68.00829340306223,0.290153488075634,79.2016806722689,classified_Stats.xlsx,2024-10-05_23-19-04_0004957,1.0120533333333332,1.06752,55.466666666666775,0,0.9988967180252076,0.9609113676207406,,results/batch_3452_sample/detections/2024-10-05_23-19-04_0004957.json,fuzzy,18.293,-0.72689116,14.717132,0,0.7213641345182247
2024-10-05_23-19-04_0004957,2,Cluster_10,1,1,1.87146,1.89237,0.0209099999999999,66.12903225806451,61.29032258064516,68.54838709677419,7.258064516129032,2.577919357644134,329.0939044018482,1.020262983913862,-70.8405399973852,0.2380063450468586,66.12903225806451,classified_Stats.xlsx,2024-10-05_23-19-04_0004957,1.8525866666666664,1.91232,59.73333333333342,1,0.998988926410675,0.9246787905693056,,results/batch_3452_sample/detections/2024-10-05_23-19-04_0004957.json,fuzzy,18.873,3.6309316,12.824117,3,1.0
2024-10-05_23-19-04_0004957,3,Cluster_10,1,1,2.018813333333333,2.0400533333333333,0.0212400000000001,64.07563025210084,61.55462184873949,110.71428571428572,49.15966386554621,7.823338731666146,140.1934532866615,3.0209008391693564,-75.29275006773135,0.2002735730819046,61.55462184873949,classified_Stats.xlsx,2024-10-05_23-19-04_0004957,2.00192,2.0573866666666665,55.46666666666633,2,0.9975428581237792,0.9283458888530732,,results/batch_3452_sample/detections/2024-10-05_23-19-04_0004957.json,fuzzy,16.893,4.9710355,16.204803,3,1.0
2024-10-05_23-19-04_0004957,4,Cluster_10,1,1,2.33404,2.34658,0.0125399999999999,61.52173913043478,61.52173913043478,70.65217391304347,9.130434782608688,2.099409831271123,-263.0726002393126,1.240325517339358,-76.17481180414111,0.196887178554434,61.52173913043478,classified_Stats.xlsx,2024-10-05_23-19-04_0004957,2.3176533333333333,2.368853333333333,51.20000000000013,3,0.9890778660774232,0.919861009487739,,results/batch_3452_sample/detections/2024-10-05_23-19-04_0004957.json,fuzzy,16.387,6.960538,14.637089,0,0.607220626514224
2024-10-05_23-19-04_0004957,5,Cluster_26,1,1,2.524293333333333,2.526906666666666,0.0026133333333331,61.36363636363636,61.36363636363636,105.3030303030303,43.93939393939394,14.646464646464644,6725.41743970313,8.004309064273453,-79.33078135836193,0.1900971433238821,61.36363636363636,classified_Stats.xlsx,2024-10-05_23-19-04_0004957,2.50112,2.53952,38.40000000000021,4,0.9084672927856444,0.8411440372467041,,results/batch_3452_sample/detections/2024-10-05_23-19-04_0004957.json,fuzzy,23.173,4.006833,16.355793,3,1.0
2024-10-05_23-19-22_0004958,1,Cluster_10,1,1,0.0688199999999999,0.07046,0.00164,63.70967741935484,63.70967741935484,63.70967741935484,0.0,0.0,6.9510901406952134e-12,1.0,-72.06493776479127,0.2166158906688166,63.70967741935484,classified_Stats.xlsx,2024-10-05_23-19-22_0004958,0.0392533333333333,0.0989866666666666,59.73333333333333,0,0.9992464780807496,0.9623138904571532,,results/batch_3452_sample/detections/2024-10-05_23-19-22_0004958.json,fuzzy,29.567,5.793253,11.072233,2,0.8770174670365976
