ngram,ngram_codes,n,observed,expected,z_score,p_value
Complex → Complex → Complex → Complex → Complex,"(4, 4, 4, 4, 4)",5,15,0.0,67.56,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(5, 5, 5, 5, 5)",5,6,0.0,60.2,0.0
Down → Down → Down → Down → Down,"(1, 1, 1, 1, 1)",5,42,0.4,52.48,0.0
Short → Short → Short → Short → Short,"(3, 3, 3, 3, 3)",5,21,0.1,50.53,0.0
Complex → Complex → Complex → Complex,"(4, 4, 4, 4)",4,25,0.2,48.9,0.0
Short → Complex → Complex → Complex → Complex,"(3, 4, 4, 4, 4)",5,3,0.0,42.46,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(5, 5, 5, 5)",4,11,0.1,30.23,0.0
Down → Down → Down → Down,"(1, 1, 1, 1)",4,72,4.1,29.72,0.0
Short → Short → Short → Short,"(3, 3, 3, 3)",4,39,1.4,28.72,0.0
Complex → Complex → Complex,"(4, 4, 4)",3,47,3.2,23.12,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat,"(5, 5, 5, 5, 0)",5,3,0.0,21.29,0.0
Flat → Flat → Flat → Flat → Flat,"(0, 0, 0, 0, 0)",5,96,11.8,20.47,0.0
Down → Down → Down,"(1, 1, 1)",3,142,29.6,20.33,0.0
Short → Up → Up → Up,"(3, 6, 6, 6)",4,2,0.0,20.0,0.0
Short → Short → Short → Short → Up,"(3, 3, 3, 3, 6)",5,3,0.0,19.06,0.0
Short → Short → Short,"(3, 3, 3)",3,81,12.8,18.7,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump,"(5, 5, 5)",3,27,2.1,17.67,0.0
Flat → Flat → Flat → Flat,"(0, 0, 0, 0)",4,182,44.3,17.44,0.0
Flat → Flat → Flat,"(0, 0, 0)",3,388,171.0,16.91,0.0
Complex → Complex → Short → Complex → Short,"(4, 4, 3, 4, 3)",5,2,0.0,16.33,0.0
Down → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(1, 5, 5, 5, 5)",5,2,0.0,16.33,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat → Flat,"(5, 5, 5, 0, 0)",5,6,0.1,16.23,0.0
Flat → Flat,"(0, 0)",2,930,660.7,14.8,0.0
Complex → Complex,"(4, 4)",2,130,44.7,14.39,0.0
Up → Short → Up → Up,"(6, 3, 6, 6)",4,2,0.0,14.14,0.0
Up → Up → Up → Short,"(6, 6, 6, 3)",4,2,0.0,14.14,0.0
Short → Short → Short → Up → Short,"(3, 3, 3, 6, 3)",5,2,0.0,14.14,0.0
Up → Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat,"(6, 5, 5, 5, 0)",5,2,0.0,14.14,0.0
Short → Frequency_Jump → Frequency_Jump → Complex → Complex,"(3, 5, 5, 4, 4)",5,1,0.0,14.11,0.0
Up → Complex → Complex → Complex → Up,"(6, 4, 4, 4, 6)",5,1,0.0,14.11,0.0
Short → Up → Short → Short → Complex,"(3, 6, 3, 3, 4)",5,1,0.0,14.11,0.0
Chevron → Up → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(2, 6, 5, 5, 5)",5,1,0.0,14.11,0.0
Complex → Up → Complex → Short → Short,"(4, 6, 4, 3, 3)",5,1,0.0,14.11,0.0
Complex → Down → Short → Up → Up,"(4, 1, 3, 6, 6)",5,1,0.0,14.11,0.0
Down → Complex → Complex → Up → Up,"(1, 4, 4, 6, 6)",5,1,0.0,14.11,0.0
Down → Down → Complex → Up → Up,"(1, 1, 4, 6, 6)",5,1,0.0,14.11,0.0
Down → Chevron → Frequency_Jump → Frequency_Jump → Up,"(1, 2, 5, 5, 6)",5,1,0.0,14.11,0.0
Down → Short → Up → Up → Chevron,"(1, 3, 6, 6, 2)",5,1,0.0,14.11,0.0
Complex → Complex → Short → Frequency_Jump → Up,"(4, 4, 3, 5, 6)",5,1,0.0,14.11,0.0
Chevron → Chevron → Chevron → Chevron → Chevron,"(2, 2, 2, 2, 2)",5,10,0.5,12.92,0.0
Up → Short → Short → Chevron → Short,"(6, 3, 3, 2, 3)",5,2,0.0,12.65,0.0
Short → Up → Up → Short → Short,"(3, 6, 6, 3, 3)",5,2,0.0,12.65,0.0
Flat → Flat → Short → Up → Up,"(0, 0, 3, 6, 6)",5,2,0.0,12.65,0.0
Down → Down,"(1, 1)",2,359,204.6,12.46,0.0
Frequency_Jump → Frequency_Jump → Flat → Flat → Flat,"(5, 5, 0, 0, 0)",5,10,0.6,12.34,0.0
Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat,"(5, 5, 5, 0)",4,9,0.6,11.65,0.0
Down → Complex → Complex → Complex → Complex,"(1, 4, 4, 4, 4)",5,2,0.0,11.55,0.0
Short → Short,"(3, 3)",2,221,113.7,11.39,0.0
Short → Short → Up → Short → Short,"(3, 3, 6, 3, 3)",5,2,0.0,10.69,0.0
Frequency_Jump → Chevron → Flat → Frequency_Jump → Frequency_Jump,"(5, 2, 0, 5, 5)",5,2,0.0,10.69,0.0
Complex → Complex → Complex → Up,"(4, 4, 4, 6)",4,3,0.1,10.45,0.0
Chevron → Frequency_Jump → Chevron → Complex → Chevron,"(2, 5, 2, 4, 2)",5,3,0.1,10.38,0.0
Frequency_Jump → Frequency_Jump,"(5, 5)",2,98,35.4,10.05,0.0
Chevron → Down → Down → Complex → Up,"(2, 1, 1, 4, 6)",5,2,0.0,10.0,0.0
Short → Up → Up → Chevron → Short,"(3, 6, 6, 2, 3)",5,1,0.0,9.95,0.0
Frequency_Jump → Up → Short → Up → Flat,"(5, 6, 3, 6, 0)",5,1,0.0,9.95,0.0
Down → Complex → Up → Up → Chevron,"(1, 4, 6, 6, 2)",5,1,0.0,9.95,0.0
Complex → Down → Short → Short → Up,"(4, 1, 3, 3, 6)",5,1,0.0,9.95,0.0
Flat → Short → Up → Short → Up,"(0, 3, 6, 3, 6)",5,1,0.0,9.95,0.0
Up → Up → Up → Chevron → Flat,"(6, 6, 6, 2, 0)",5,1,0.0,9.95,0.0
Frequency_Jump → Complex → Chevron → Frequency_Jump → Up,"(5, 4, 2, 5, 6)",5,1,0.0,9.95,0.0
Complex → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(4, 5, 5, 5, 5)",5,1,0.0,9.95,0.0
Chevron → Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(2, 5, 5, 5, 5)",5,1,0.0,9.95,0.0
Complex → Complex → Complex → Complex → Up,"(4, 4, 4, 4, 6)",5,1,0.0,9.95,0.0
Up → Up → Up → Flat → Chevron,"(6, 6, 6, 0, 2)",5,1,0.0,9.95,0.0
Short → Up → Flat → Up → Up,"(3, 6, 0, 6, 6)",5,1,0.0,9.95,0.0
Frequency_Jump → Frequency_Jump → Up → Complex → Complex,"(5, 5, 6, 4, 4)",5,1,0.0,9.95,0.0
Up → Up → Chevron → Short → Chevron,"(6, 6, 2, 3, 2)",5,1,0.0,9.95,0.0
Short → Up → Short → Short → Chevron,"(3, 6, 3, 3, 2)",5,2,0.0,9.43,0.0
Complex → Complex → Complex → Complex → Flat,"(4, 4, 4, 4, 0)",5,2,0.0,9.43,0.0
Frequency_Jump → Complex → Complex → Down → Short,"(5, 4, 4, 1, 3)",5,2,0.0,9.43,0.0
Down → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(1, 5, 5, 5)",4,5,0.3,9.2,0.0
Short → Short → Short → Up,"(3, 3, 3, 6)",4,6,0.4,9.17,0.0
Frequency_Jump → Frequency_Jump → Flat,"(5, 5, 0)",3,38,9.0,9.06,0.0
Chevron → Chevron → Frequency_Jump → Down → Up,"(2, 2, 5, 1, 6)",5,2,0.1,8.95,0.0
Chevron → Short → Short → Short → Short,"(2, 3, 3, 3, 3)",5,4,0.2,8.57,0.0
Down → Complex → Complex → Short → Complex,"(1, 4, 4, 3, 4)",5,2,0.1,8.53,0.0
Chevron → Chevron → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(2, 2, 5, 5, 5)",5,2,0.1,8.53,0.0
Short → Short → Short → Up → Chevron,"(3, 3, 3, 6, 2)",5,2,0.0,8.49,0.0
Chevron → Chevron → Chevron → Chevron,"(2, 2, 2, 2)",4,20,3.4,8.29,1.1102230246251565e-16
Up → Up → Up,"(6, 6, 6)",3,4,0.2,8.28,1.1102230246251565e-16
Short → Short → Short → Short → Complex,"(3, 3, 3, 3, 4)",5,2,0.1,8.17,1.1102230246251565e-16
Frequency_Jump → Frequency_Jump → Flat → Frequency_Jump,"(5, 5, 0, 5)",4,7,0.7,8.15,2.220446049250313e-16
Short → Short → Up → Chevron → Short,"(3, 3, 6, 2, 3)",5,2,0.1,8.13,2.220446049250313e-16
Frequency_Jump → Frequency_Jump → Flat → Flat,"(5, 5, 0, 0)",4,16,2.5,8.13,2.220446049250313e-16
Complex → Up → Up → Up,"(4, 6, 6, 6)",4,1,0.0,8.1,2.220446049250313e-16
Up → Short → Short → Short → Frequency_Jump,"(6, 3, 3, 3, 5)",5,1,0.0,8.1,2.220446049250313e-16
Complex → Short → Frequency_Jump → Up → Flat,"(4, 3, 5, 6, 0)",5,1,0.0,8.1,2.220446049250313e-16
Frequency_Jump → Frequency_Jump → Up → Down → Down,"(5, 5, 6, 1, 1)",5,1,0.0,8.1,2.220446049250313e-16
Frequency_Jump → Frequency_Jump → Down → Frequency_Jump → Frequency_Jump,"(5, 5, 1, 5, 5)",5,1,0.0,8.1,2.220446049250313e-16
Chevron → Chevron → Up → Frequency_Jump → Frequency_Jump,"(2, 2, 6, 5, 5)",5,1,0.0,8.1,2.220446049250313e-16
Up → Complex → Complex → Complex → Complex,"(6, 4, 4, 4, 4)",5,1,0.0,8.1,2.220446049250313e-16
Down → Down → Complex → Complex → Up,"(1, 1, 4, 4, 6)",5,1,0.0,8.1,2.220446049250313e-16
Up → Short → Short → Flat → Up,"(6, 3, 3, 0, 6)",5,1,0.0,8.1,2.220446049250313e-16
Complex → Frequency_Jump → Frequency_Jump → Frequency_Jump → Down,"(4, 5, 5, 5, 1)",5,1,0.0,8.1,2.220446049250313e-16
Chevron → Complex → Short → Complex → Complex,"(2, 4, 3, 4, 4)",5,1,0.0,8.1,2.220446049250313e-16
Down → Frequency_Jump → Frequency_Jump → Frequency_Jump → Complex,"(1, 5, 5, 5, 4)",5,1,0.0,8.1,2.220446049250313e-16
Frequency_Jump → Frequency_Jump → Frequency_Jump → Down → Frequency_Jump,"(5, 5, 5, 1, 5)",5,1,0.0,8.1,2.220446049250313e-16
Down → Down → Up → Down → Up,"(1, 1, 6, 1, 6)",5,1,0.0,8.1,2.220446049250313e-16
Short → Up → Chevron → Short → Up,"(3, 6, 2, 3, 6)",5,1,0.0,8.1,2.220446049250313e-16
Complex → Complex → Complex → Complex → Short,"(4, 4, 4, 4, 3)",5,1,0.0,8.1,2.220446049250313e-16
Short → Complex → Short → Up → Short,"(3, 4, 3, 6, 3)",5,1,0.0,8.1,2.220446049250313e-16
Short → Chevron → Short → Frequency_Jump → Up,"(3, 2, 3, 5, 6)",5,1,0.0,8.1,2.220446049250313e-16
Down → Complex → Complex → Complex → Up,"(1, 4, 4, 4, 6)",5,1,0.0,8.1,2.220446049250313e-16
Short → Short → Short → Frequency_Jump → Up,"(3, 3, 3, 5, 6)",5,1,0.0,8.1,2.220446049250313e-16
Up → Up → Short → Short → Chevron,"(6, 6, 3, 3, 2)",5,1,0.0,8.1,2.220446049250313e-16
Frequency_Jump → Frequency_Jump → Frequency_Jump → Frequency_Jump → Chevron,"(5, 5, 5, 5, 2)",5,1,0.0,8.1,2.220446049250313e-16
Frequency_Jump → Chevron → Short → Chevron → Up,"(5, 2, 3, 2, 6)",5,1,0.0,8.1,2.220446049250313e-16
Up → Up → Short → Short,"(6, 6, 3, 3)",4,2,0.1,7.85,2.1094237467877974e-15
Up → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(6, 5, 5, 5)",4,2,0.1,7.85,2.1094237467877974e-15
Frequency_Jump → Frequency_Jump → Chevron → Flat → Frequency_Jump,"(5, 5, 2, 0, 5)",5,2,0.1,7.81,2.7755575615628914e-15
Short → Up → Short → Short,"(3, 6, 3, 3)",4,4,0.3,7.81,2.886579864025407e-15
Frequency_Jump → Frequency_Jump → Flat → Frequency_Jump → Flat,"(5, 5, 0, 5, 0)",5,3,0.1,7.69,7.549516567451064e-15
Flat → Frequency_Jump → Frequency_Jump → Flat → Flat,"(0, 5, 5, 0, 0)",5,7,0.7,7.59,1.5432100042289676e-14
Down → Complex → Complex → Flat → Frequency_Jump,"(1, 4, 4, 0, 5)",5,2,0.1,7.56,1.9539925233402755e-14
Flat → Complex → Complex → Complex → Complex,"(0, 4, 4, 4, 4)",5,2,0.1,7.56,1.9539925233402755e-14
Up → Complex → Complex → Complex,"(6, 4, 4, 4)",4,2,0.1,7.31,1.3500311979441904e-13
Up → Down → Down → Flat → Complex,"(6, 1, 1, 0, 4)",5,2,0.1,7.31,1.3500311979441904e-13
Frequency_Jump → Frequency_Jump → Flat → Frequency_Jump → Down,"(5, 5, 0, 5, 1)",5,2,0.1,7.31,1.3500311979441904e-13
Down → Frequency_Jump → Chevron → Flat → Up,"(1, 5, 2, 0, 6)",5,2,0.1,7.31,1.3500311979441904e-13
Frequency_Jump → Frequency_Jump → Flat → Frequency_Jump → Chevron,"(5, 5, 0, 5, 2)",5,2,0.1,7.27,1.751931932858497e-13
Frequency_Jump → Flat → Flat → Flat → Flat,"(5, 0, 0, 0, 0)",5,13,2.6,7.24,2.2459811788166917e-13
Down → Frequency_Jump → Frequency_Jump → Flat → Frequency_Jump,"(1, 5, 5, 0, 5)",5,2,0.1,7.04,9.429124148141454e-13
Short → Chevron → Complex → Complex → Complex,"(3, 2, 4, 4, 4)",5,2,0.1,7.02,1.1198819649393954e-12
Short → Short → Frequency_Jump → Up → Short,"(3, 3, 5, 6, 3)",5,1,0.0,7.02,1.1259881915748338e-12
Complex → Complex → Down → Short → Frequency_Jump,"(4, 4, 1, 3, 5)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Complex → Frequency_Jump → Complex → Chevron,"(4, 4, 5, 4, 2)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Short → Up → Short → Short,"(4, 3, 6, 3, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Frequency_Jump → Chevron → Chevron → Complex,"(4, 5, 2, 2, 4)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Chevron → Frequency_Jump → Up → Flat,"(4, 2, 5, 6, 0)",5,1,0.0,7.0,1.2798651027878805e-12
Chevron → Complex → Complex → Complex → Complex,"(2, 4, 4, 4, 4)",5,1,0.0,7.0,1.2798651027878805e-12
Up → Short → Short → Complex → Flat,"(6, 3, 3, 4, 0)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Complex → Up → Short → Short,"(4, 4, 6, 3, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Up → Complex → Short → Short → Short,"(6, 4, 3, 3, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Down → Complex → Complex → Up → Short,"(1, 4, 4, 6, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Complex → Complex → Short → Frequency_Jump,"(4, 4, 4, 3, 5)",5,1,0.0,7.0,1.2798651027878805e-12
Short → Chevron → Down → Complex → Up,"(3, 2, 1, 4, 6)",5,1,0.0,7.0,1.2798651027878805e-12
Short → Chevron → Up → Complex → Complex,"(3, 2, 6, 4, 4)",5,1,0.0,7.0,1.2798651027878805e-12
Chevron → Frequency_Jump → Frequency_Jump → Up → Down,"(2, 5, 5, 6, 1)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Complex → Short → Up → Chevron,"(4, 4, 3, 6, 2)",5,1,0.0,7.0,1.2798651027878805e-12
Chevron → Frequency_Jump → Down → Down → Up,"(2, 5, 1, 1, 6)",5,1,0.0,7.0,1.2798651027878805e-12
Chevron → Frequency_Jump → Chevron → Up → Short,"(2, 5, 2, 6, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Frequency_Jump → Complex → Complex → Down,"(4, 5, 4, 4, 1)",5,1,0.0,7.0,1.2798651027878805e-12
Down → Chevron → Chevron → Frequency_Jump → Up,"(1, 2, 2, 5, 6)",5,1,0.0,7.0,1.2798651027878805e-12
Up → Complex → Complex → Short → Chevron,"(6, 4, 4, 3, 2)",5,1,0.0,7.0,1.2798651027878805e-12
Flat → Up → Short → Up → Short,"(0, 6, 3, 6, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Complex → Up → Up → Chevron → Flat,"(4, 6, 6, 2, 0)",5,1,0.0,7.0,1.2798651027878805e-12
Frequency_Jump → Chevron → Up → Short → Short,"(5, 2, 6, 3, 3)",5,1,0.0,7.0,1.2798651027878805e-12
Flat → Frequency_Jump → Up → Short → Up,"(0, 5, 6, 3, 6)",5,1,0.0,7.0,1.2798651027878805e-12
Chevron → Chevron → Chevron,"(2, 2, 2)",3,59,23.9,6.9,2.5407453918546707e-12
Frequency_Jump → Frequency_Jump → Chevron → Flat → Chevron,"(5, 5, 2, 0, 2)",5,3,0.2,6.86,3.3368863228133705e-12
Chevron → Chevron → Complex → Chevron → Complex,"(2, 2, 4, 2, 4)",5,2,0.1,6.83,4.168110301350225e-12
Frequency_Jump → Flat → Flat → Flat,"(5, 0, 0, 0)",4,32,10.6,6.69,1.1217804463115044e-11
Short → Short → Short → Short → Flat,"(3, 3, 3, 3, 0)",5,4,0.3,6.66,1.3321566072477253e-11
Frequency_Jump → Flat → Flat,"(5, 0, 0)",3,80,39.7,6.65,1.4355072686100812e-11
Down → Frequency_Jump → Frequency_Jump → Chevron → Flat,"(1, 5, 5, 2, 0)",5,3,0.2,6.6,2.060462911401828e-11
Down → Flat → Flat → Flat → Flat,"(1, 0, 0, 0, 0)",5,22,6.4,6.57,2.438937940496544e-11
Down → Frequency_Jump → Flat → Chevron,"(1, 5, 0, 2)",4,13,2.8,6.46,5.228339983176511e-11
Down → Short → Short → Short → Short,"(1, 3, 3, 3, 3)",5,3,0.2,6.42,6.65265620369837e-11
Flat → Flat → Flat → Up,"(0, 0, 0, 6)",4,19,4.8,6.4,7.529554757468304e-11
Flat → Frequency_Jump → Frequency_Jump → Flat,"(0, 5, 5, 0)",4,12,2.6,6.4,7.827039016916615e-11
Flat → Flat → Flat → Flat → Up,"(0, 0, 0, 0, 6)",5,8,1.2,6.39,8.332001755206875e-11
Chevron → Down → Down → Down → Down,"(2, 1, 1, 1, 1)",5,5,0.6,6.36,1.0218026424979598e-10
Down → Flat → Frequency_Jump → Frequency_Jump → Down,"(1, 0, 5, 5, 1)",5,3,0.2,6.26,1.9127011086084167e-10
Down → Frequency_Jump → Chevron → Flat → Frequency_Jump,"(1, 5, 2, 0, 5)",5,3,0.2,6.26,1.9127011086084167e-10
Short → Down → Down → Down → Down,"(3, 1, 1, 1, 1)",5,5,0.5,6.25,2.1108270686909236e-10
Frequency_Jump → Frequency_Jump → Down → Up → Down,"(5, 5, 1, 6, 1)",5,1,0.0,6.24,2.119027175950805e-10
Down → Complex → Short → Up → Flat,"(1, 4, 3, 6, 0)",5,1,0.0,6.24,2.119027175950805e-10
Down → Frequency_Jump → Up → Chevron → Chevron,"(1, 5, 6, 2, 2)",5,1,0.0,6.24,2.119027175950805e-10
Frequency_Jump → Frequency_Jump → Frequency_Jump → Chevron → Frequency_Jump,"(5, 5, 5, 2, 5)",5,1,0.0,6.24,2.119027175950805e-10
Short → Short → Short → Complex → Short,"(3, 3, 3, 4, 3)",5,1,0.0,6.24,2.119027175950805e-10
Up → Complex → Chevron → Up → Flat,"(6, 4, 2, 6, 0)",5,1,0.0,6.24,2.119027175950805e-10
Flat → Short → Up → Up → Short,"(0, 3, 6, 6, 3)",5,1,0.0,6.24,2.119027175950805e-10
Complex → Flat → Complex → Up → Complex,"(4, 0, 4, 6, 4)",5,1,0.0,6.24,2.119027175950805e-10
Up → Up → Short → Chevron → Flat,"(6, 6, 3, 2, 0)",5,1,0.0,6.24,2.119027175950805e-10
Complex → Complex → Complex → Up → Flat,"(4, 4, 4, 6, 0)",5,1,0.0,6.24,2.119027175950805e-10
Flat → Complex → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(0, 4, 5, 5, 5)",5,1,0.0,6.24,2.119027175950805e-10
Complex → Short → Short → Short → Frequency_Jump,"(4, 3, 3, 3, 5)",5,1,0.0,6.24,2.119027175950805e-10
Frequency_Jump → Up → Complex → Chevron → Flat,"(5, 6, 4, 2, 0)",5,1,0.0,6.24,2.119027175950805e-10
Up → Short → Up → Short → Flat,"(6, 3, 6, 3, 0)",5,1,0.0,6.24,2.119027175950805e-10
Flat → Down → Chevron → Up → Up,"(0, 1, 2, 6, 6)",5,1,0.0,6.24,2.119027175950805e-10
Complex → Up → Flat → Chevron → Frequency_Jump,"(4, 6, 0, 2, 5)",5,1,0.0,6.24,2.119027175950805e-10
Complex → Complex → Complex → Complex → Chevron,"(4, 4, 4, 4, 2)",5,1,0.0,6.24,2.119027175950805e-10
Complex → Down → Complex → Up → Complex,"(4, 1, 4, 6, 4)",5,1,0.0,6.24,2.119027175950805e-10
Frequency_Jump → Up → Flat → Chevron → Complex,"(5, 6, 0, 2, 4)",5,1,0.0,6.24,2.119027175950805e-10
Frequency_Jump → Frequency_Jump → Frequency_Jump → Down → Down,"(5, 5, 5, 1, 1)",5,1,0.0,6.24,2.119027175950805e-10
Short → Complex → Complex → Complex,"(3, 4, 4, 4)",4,4,0.3,6.21,2.5840918294051107e-10
Flat → Frequency_Jump → Flat → Flat,"(0, 5, 0, 0)",4,29,10.0,6.21,2.6921731510753943e-10
Frequency_Jump → Down → Flat → Frequency_Jump → Frequency_Jump,"(5, 1, 0, 5, 5)",5,2,0.1,6.18,3.172142548635293e-10
Frequency_Jump → Chevron → Flat → Frequency_Jump → Chevron,"(5, 2, 0, 5, 2)",5,3,0.2,6.06,6.958302822823725e-10
Up → Up → Short → Chevron,"(6, 6, 3, 2)",4,2,0.1,6.01,9.372341791547e-10
Frequency_Jump → Down → Frequency_Jump → Frequency_Jump → Flat,"(5, 1, 5, 5, 0)",5,2,0.1,6.01,9.372341791547e-10
Up → Short → Short,"(6, 3, 3)",3,13,3.2,5.97,1.1884616624158184e-09
Flat → Flat → Flat → Flat → Frequency_Jump,"(0, 0, 0, 0, 5)",5,12,2.7,5.91,1.6845423944644722e-09
Short → Complex → Short → Short → Chevron,"(3, 4, 3, 3, 2)",5,2,0.1,5.91,1.7242525185423574e-09
Short → Complex → Chevron → Short → Short,"(3, 4, 2, 3, 3)",5,2,0.1,5.91,1.7242525185423574e-09
Flat → Short → Short → Short → Short,"(0, 3, 3, 3, 3)",5,3,0.3,5.9,1.800603888213459e-09
Complex → Chevron → Short → Short → Short,"(4, 2, 3, 3, 3)",5,2,0.1,5.88,2.0907092723732035e-09
Flat → Flat → Flat → Flat → Chevron,"(0, 0, 0, 0, 2)",5,19,5.9,5.86,2.2555856071804214e-09
Short → Frequency_Jump → Up → Flat → Flat,"(3, 5, 6, 0, 0)",5,2,0.1,5.85,2.4306586743350067e-09
Frequency_Jump → Frequency_Jump → Frequency_Jump → Flat → Chevron,"(5, 5, 5, 0, 2)",5,2,0.1,5.85,2.4306586743350067e-09
Down → Down → Down → Down → Flat,"(1, 1, 1, 1, 0)",5,7,1.1,5.74,4.726204205773854e-09
Chevron → Frequency_Jump → Frequency_Jump → Frequency_Jump,"(2, 5, 5, 5)",4,3,0.3,5.72,5.201264419163465e-09
Chevron → Short → Frequency_Jump → Up → Complex,"(2, 3, 5, 6, 4)",5,1,0.0,5.7,6.12771766661524e-09
Short → Short → Up → Flat → Up,"(3, 3, 6, 0, 6)",5,1,0.0,5.7,6.12771766661524e-09
Complex → Complex → Up → Up,"(4, 4, 6, 6)",4,1,0.0,5.69,6.493316107025748e-09
Up → Up → Up → Chevron,"(6, 6, 6, 2)",4,1,0.0,5.69,6.493316107025748e-09
Chevron → Complex → Flat → Frequency_Jump → Up,"(2, 4, 0, 5, 6)",5,1,0.0,5.69,6.493316107025748e-09
Chevron → Frequency_Jump → Up → Short → Short,"(2, 5, 6, 3, 3)",5,1,0.0,5.69,6.493316107025748e-09
Down → Complex → Complex → Chevron → Up,"(1, 4, 4, 2, 6)",5,1,0.0,5.69,6.493316107025748e-09
Up → Up → Chevron → Flat → Short,"(6, 6, 2, 0, 3)",5,1,0.0,5.69,6.493316107025748e-09
Chevron → Complex → Frequency_Jump → Complex → Complex,"(2, 4, 5, 4, 4)",5,1,0.0,5.69,6.493316107025748e-09
Short → Up → Frequency_Jump → Down → Chevron,"(3, 6, 5, 1, 2)",5,1,0.0,5.69,6.493316107025748e-09
Up → Up → Short → Chevron → Short,"(6, 6, 3, 2, 3)",5,1,0.0,5.69,6.493316107025748e-09
Down → Complex → Up → Complex → Complex,"(1, 4, 6, 4, 4)",5,1,0.0,5.69,6.493316107025748e-09
Frequency_Jump → Frequency_Jump → Chevron → Frequency_Jump → Down,"(5, 5, 2, 5, 1)",5,1,0.0,5.69,6.493316107025748e-09
Frequency_Jump → Frequency_Jump → Down → Short → Complex,"(5, 5, 1, 3, 4)",5,1,0.0,5.69,6.493316107025748e-09
Up → Up → Short → Short → Flat,"(6, 6, 3, 3, 0)",5,1,0.0,5.69,6.493316107025748e-09
Chevron → Chevron → Complex → Down → Up,"(2, 2, 4, 1, 6)",5,1,0.0,5.69,6.493316107025748e-09
Chevron → Frequency_Jump → Flat → Frequency_Jump → Up,"(2, 5, 0, 5, 6)",5,1,0.0,5.69,6.493316107025748e-09
Short → Complex → Complex → Complex → Chevron,"(3, 4, 4, 4, 2)",5,1,0.0,5.69,6.493316107025748e-09
Short → Up → Up → Flat → Chevron,"(3, 6, 6, 0, 2)",5,1,0.0,5.69,6.493316107025748e-09
Chevron → Up → Complex → Complex → Short,"(2, 6, 4, 4, 3)",5,1,0.0,5.69,6.493316107025748e-09
Short → Short → Short → Frequency_Jump → Complex,"(3, 3, 3, 5, 4)",5,1,0.0,5.69,6.493316107025748e-09
Down → Down → Complex → Short → Up,"(1, 1, 4, 3, 6)",5,1,0.0,5.69,6.493316107025748e-09
Short → Down → Short → Up → Complex,"(3, 1, 3, 6, 4)",5,1,0.0,5.69,6.493316107025748e-09
Down → Complex → Complex → Frequency_Jump → Complex,"(1, 4, 4, 5, 4)",5,1,0.0,5.69,6.493316107025748e-09
Complex → Chevron → Frequency_Jump → Frequency_Jump → Complex,"(4, 2, 5, 5, 4)",5,1,0.0,5.69,6.493316107025748e-09
Complex → Complex → Short → Chevron → Complex,"(4, 4, 3, 2, 4)",5,1,0.0,5.69,6.493316107025748e-09
Complex → Down → Short → Frequency_Jump → Complex,"(4, 1, 3, 5, 4)",5,1,0.0,5.69,6.493316107025748e-09
Short → Frequency_Jump → Up → Complex → Chevron,"(3, 5, 6, 4, 2)",5,1,0.0,5.69,6.493316107025748e-09
Frequency_Jump → Complex → Frequency_Jump → Complex → Chevron,"(5, 4, 5, 4, 2)",5,1,0.0,5.69,6.493316107025748e-09
Down → Flat → Frequency_Jump → Frequency_Jump,"(1, 0, 5, 5)",4,8,1.4,5.66,7.592797723887657e-09
Chevron → Flat → Flat → Flat → Flat,"(2, 0, 0, 0, 0)",5,20,6.2,5.63,9.061136729826558e-09
Chevron → Complex → Complex → Complex,"(2, 4, 4, 4)",4,4,0.4,5.56,1.3138528154321705e-08
Short → Up → Up,"(3, 6, 6)",3,6,0.8,5.56,1.3830526945923793e-08
Down → Down → Down → Down → Frequency_Jump,"(1, 1, 1, 1, 5)",5,3,0.2,5.53,1.5785806106727307e-08
