ngram,ngram_codes,n,observed,expected,z_score,p_value
Down → Down → Frequency_Jump → Down → Chevron,"(1, 1, 5, 1, 2)",5,2,0.2,3.35,0.00040874226212850306
Flat → Flat → Frequency_Jump → Flat,"(0, 0, 5, 0)",4,21,10.6,3.33,0.0004283254657797553
Flat → Frequency_Jump → Chevron,"(0, 5, 2)",3,36,21.5,3.33,0.0004410582253628892
Complex → Complex → Up → Flat,"(4, 4, 6, 0)",4,2,0.3,3.31,0.0004666973914805306
Up → Short → Short → Short,"(6, 3, 3, 3)",4,2,0.3,3.3,0.0004827749781377566
Frequency_Jump → Flat → Chevron → Flat,"(5, 0, 2, 0)",4,13,5.5,3.29,0.0005012440854400557
Frequency_Jump → Short → Short → Short → Chevron,"(5, 3, 3, 3, 2)",5,1,0.1,3.28,0.0005131443641958056
Chevron → Down → Chevron → Up → Down,"(2, 1, 2, 6, 1)",5,1,0.1,3.28,0.0005131443641958056
Chevron → Up → Down → Down → Chevron,"(2, 6, 1, 1, 2)",5,1,0.1,3.28,0.0005131443641958056
Up → Complex → Chevron → Up,"(6, 4, 2, 6)",4,1,0.1,3.28,0.0005131443641958056
Short → Short → Complex → Complex → Short,"(3, 3, 4, 4, 3)",5,1,0.1,3.28,0.0005131443641958056
Short → Frequency_Jump → Down → Frequency_Jump → Chevron,"(3, 5, 1, 5, 2)",5,1,0.1,3.28,0.0005131443641958056
Chevron → Frequency_Jump → Frequency_Jump → Down → Down,"(2, 5, 5, 1, 1)",5,1,0.1,3.28,0.0005131443641958056
Short → Complex → Chevron → Frequency_Jump → Chevron,"(3, 4, 2, 5, 2)",5,1,0.1,3.28,0.0005131443641958056
Up → Flat → Flat → Short → Up,"(6, 0, 0, 3, 6)",5,1,0.1,3.28,0.0005131443641958056
Short → Up → Chevron → Short → Short,"(3, 6, 2, 3, 3)",5,1,0.1,3.28,0.0005131443641958056
Chevron → Frequency_Jump → Frequency_Jump → Flat → Frequency_Jump,"(2, 5, 5, 0, 5)",5,1,0.1,3.28,0.0005131443641958056
Chevron → Complex → Chevron → Complex → Chevron,"(2, 4, 2, 4, 2)",5,1,0.1,3.28,0.0005172700168368793
Chevron → Down → Up → Frequency_Jump → Flat,"(2, 1, 6, 5, 0)",5,1,0.1,3.28,0.0005172700168368793
Complex → Complex → Frequency_Jump → Flat → Down,"(4, 4, 5, 0, 1)",5,1,0.1,3.28,0.0005172700168368793
Chevron → Complex → Complex → Down → Short,"(2, 4, 4, 1, 3)",5,1,0.1,3.28,0.0005172700168368793
Short → Frequency_Jump → Down → Complex → Down,"(3, 5, 1, 4, 1)",5,1,0.1,3.28,0.0005172700168368793
Frequency_Jump → Complex → Complex → Flat → Chevron,"(5, 4, 4, 0, 2)",5,1,0.1,3.28,0.0005172700168368793
Chevron → Flat → Frequency_Jump → Complex → Flat,"(2, 0, 5, 4, 0)",5,2,0.3,3.26,0.0005500550467213428
Complex → Flat → Short → Short → Short,"(4, 0, 3, 3, 3)",5,2,0.3,3.25,0.0005745213568442153
Down → Chevron → Flat → Flat → Chevron,"(1, 2, 0, 0, 2)",5,6,1.8,3.24,0.0005903883963604972
Flat → Frequency_Jump → Flat → Flat → Up,"(0, 5, 0, 0, 6)",5,2,0.3,3.24,0.0005965525390528859
Chevron → Short → Short → Down → Chevron,"(2, 3, 3, 1, 2)",5,2,0.3,3.23,0.0006106417708535705
Frequency_Jump → Frequency_Jump → Flat → Chevron → Flat,"(5, 5, 0, 2, 0)",5,2,0.3,3.23,0.0006106417708535705
Chevron → Short → Short,"(2, 3, 3)",3,28,16.1,3.23,0.0006189838650766388
Down → Down → Down → Chevron → Down,"(1, 1, 1, 2, 1)",5,3,0.6,3.22,0.0006521124607480333
Down → Frequency_Jump → Chevron → Flat,"(1, 5, 2, 0)",4,8,2.9,3.2,0.0006839866793685312
Chevron → Frequency_Jump → Complex → Short → Chevron,"(2, 5, 4, 3, 2)",5,1,0.1,3.19,0.0007163053049911161
Complex → Short → Up → Chevron → Flat,"(4, 3, 6, 2, 0)",5,1,0.1,3.18,0.0007315956502171872
Flat → Frequency_Jump → Frequency_Jump → Flat → Up,"(0, 5, 5, 0, 6)",5,1,0.1,3.18,0.0007315956502171872
Short → Frequency_Jump → Chevron → Complex → Short,"(3, 5, 2, 4, 3)",5,1,0.1,3.18,0.0007315956502171872
Chevron → Complex → Complex → Complex → Short,"(2, 4, 4, 4, 3)",5,1,0.1,3.18,0.0007315956502171872
Flat → Complex → Complex → Short → Complex,"(0, 4, 4, 3, 4)",5,1,0.1,3.18,0.0007315956502171872
Frequency_Jump → Complex → Complex → Short → Flat,"(5, 4, 4, 3, 0)",5,1,0.1,3.18,0.0007315956502171872
Complex → Chevron → Short → Down → Complex,"(4, 2, 3, 1, 4)",5,1,0.1,3.18,0.000736890421937586
Flat → Up → Complex → Flat → Complex,"(0, 6, 4, 0, 4)",5,1,0.1,3.18,0.000736890421937586
Chevron → Complex → Complex → Frequency_Jump → Down,"(2, 4, 4, 5, 1)",5,1,0.1,3.18,0.000736890421937586
Short → Short → Complex → Chevron → Complex,"(3, 3, 4, 2, 4)",5,1,0.1,3.18,0.000736890421937586
Frequency_Jump → Frequency_Jump → Complex → Down → Flat,"(5, 5, 4, 1, 0)",5,1,0.1,3.18,0.000736890421937586
Frequency_Jump → Chevron → Short → Short → Short,"(5, 2, 3, 3, 3)",5,1,0.1,3.18,0.000736890421937586
Flat → Flat → Frequency_Jump → Up → Short,"(0, 0, 5, 6, 3)",5,1,0.1,3.18,0.000736890421937586
Up → Flat → Flat → Flat → Up,"(6, 0, 0, 0, 6)",5,1,0.1,3.18,0.000736890421937586
