"time_of_day","avg_size","num_recordings","line_thickness"
15.9391666666667,1518498,1,1
15.9416666666667,1289122,1,1
15.9422222222222,1289122,1,1
15.9425,1289122,1,1
15.9427777777778,1289122,1,1
15.9433333333333,1289122,1,1
15.9447222222222,1452962,1,1
15.945,1289122,1,1
15.9488888888889,1289122,1,1
15.9511111111111,1485730,1,1
15.9525,1289122,1,1
15.9536111111111,1289122,1,1
15.9575,1289122,1,1
15.9630555555556,1289122,1,1
15.9661111111111,1289122,1,1
15.9691666666667,1289122,1,1
15.9722222222222,1289122,1,1
15.9744444444444,1289122,1,1
15.9761111111111,1289122,1,1
15.9783333333333,1289122,1,1
15.9786111111111,1584034,1,1
15.98,1289122,1,1
15.9811111111111,1649570,1,1
15.9825,1289122,1,1
15.9858333333333,1715106,1,1
15.9866666666667,1289122,1,1
15.9963888888889,1289122,1,1
16.0022222222222,1289122,1,1
16.0047222222222,1289122,1,1
16.02,1289122,1,1
16.0211111111111,1289122,1,1
16.025,1289122,1,1
16.0252777777778,1387426,1,1
16.0263888888889,1289122,1,1
16.0272222222222,1289122,1,1
16.0280555555556,1289122,1,1
16.0294444444444,1289122,1,1
16.03,1289122,1,1
16.0363888888889,1289122,2,10
16.0369444444444,1813410,1,1
16.0372222222222,1551266,1,1
16.0394444444444,1289122,1,1
16.0397222222222,1289122,1,1
16.04,1289122,1,1
16.0408333333333,1289122,1,1
16.0413888888889,1584034,1,1
16.0433333333333,2010018,1,1
16.0466666666667,1289122,1,1
16.0497222222222,1387426,1,1
16.0505555555556,1289122,1,1
16.0508333333333,1289122,1,1
16.0522222222222,1813410,1,1
16.0527777777778,1289122,1,1
16.0538888888889,1420194,1,1
16.0547222222222,1289122,1,1
16.0552777777778,1289122,1,1
16.0563888888889,1911714,1,1
16.0586111111111,1289122,1,1
16.0647222222222,1289122,1,1
16.0655555555556,1616802,1,1
16.0680555555556,1289122,1,1
16.0697222222222,1289122,1,1
16.0711111111111,1289122,1,1
16.0716666666667,2141090,1,1
16.0744444444444,1289122,1,1
16.0755555555556,1289122,1,1
16.0777777777778,1289122,1,1
16.0791666666667,1289122,1,1
16.0797222222222,1289122,1,1
