

D:\NogaKS21\Documents\Avisoft Bioacoustics\usv_lmt_035\
10/04/24	09:49:52	Monitoring_started
10/04/24	10:03:19	2024-10-04_10-03-19_0000115.wav	2.1 s
10/04/24	10:03:40	2024-10-04_10-03-40_0000116.wav	2.5 s
10/04/24	10:03:55	2024-10-04_10-03-55_0000117.wav	2.1 s
10/04/24	10:03:59	2024-10-04_10-03-59_0000118.wav	2.1 s
10/04/24	10:04:33	2024-10-04_10-04-33_0000119.wav	2.2 s
10/04/24	10:04:37	2024-10-04_10-04-37_0000120.wav	2.1 s
10/04/24	10:04:39	2024-10-04_10-04-39_0000121.wav	2.1 s
10/04/24	10:04:53	2024-10-04_10-04-53_0000122.wav	2.1 s
10/04/24	10:05:12	2024-10-04_10-05-12_0000123.wav	2.1 s
10/04/24	10:05:29	2024-10-04_10-05-29_0000124.wav	2.1 s
10/04/24	10:05:34	2024-10-04_10-05-34_0000125.wav	3.0 s
10/04/24	10:05:37	2024-10-04_10-05-37_0000126.wav	2.1 s
10/04/24	10:06:00	2024-10-04_10-06-00_0000127.wav	2.3 s
10/04/24	10:06:10	2024-10-04_10-06-10_0000128.wav	2.1 s
10/04/24	10:06:30	2024-10-04_10-06-30_0000129.wav	2.1 s
10/04/24	10:06:32	2024-10-04_10-06-32_0000130.wav	2.1 s
10/04/24	10:06:54	2024-10-04_10-06-54_0000131.wav	2.1 s
10/04/24	10:07:23	2024-10-04_10-07-23_0000132.wav	2.1 s
10/04/24	10:07:25	2024-10-04_10-07-25_0000133.wav	2.8 s
10/04/24	10:07:29	2024-10-04_10-07-29_0000134.wav	2.1 s
10/04/24	10:07:31	2024-10-04_10-07-31_0000135.wav	2.1 s
10/04/24	10:07:36	2024-10-04_10-07-36_0000136.wav	2.1 s
10/04/24	10:07:41	2024-10-04_10-07-41_0000137.wav	2.1 s
10/04/24	10:07:48	2024-10-04_10-07-48_0000138.wav	2.1 s
10/04/24	10:08:10	2024-10-04_10-08-10_0000139.wav	2.1 s
10/04/24	10:08:14	2024-10-04_10-08-14_0000140.wav	2.1 s
10/04/24	10:08:22	2024-10-04_10-08-22_0000141.wav	2.5 s
10/04/24	10:08:36	2024-10-04_10-08-36_0000142.wav	2.6 s
10/04/24	10:08:40	2024-10-04_10-08-40_0000143.wav	4.4 s
10/04/24	10:08:55	2024-10-04_10-08-55_0000144.wav	2.6 s
10/04/24	10:09:16	2024-10-04_10-09-16_0000145.wav	2.1 s
10/04/24	10:09:46	2024-10-04_10-09-46_0000146.wav	3.1 s
10/04/24	10:09:59	2024-10-04_10-09-59_0000147.wav	2.1 s
10/04/24	10:10:27	2024-10-04_10-10-27_0000148.wav	2.1 s
10/04/24	10:10:34	2024-10-04_10-10-34_0000149.wav	2.1 s
10/04/24	10:10:38	2024-10-04_10-10-38_0000150.wav	3.9 s
10/04/24	10:10:51	2024-10-04_10-10-51_0000151.wav	3.5 s
10/04/24	10:10:54	2024-10-04_10-10-54_0000152.wav	2.1 s
10/04/24	10:10:58	2024-10-04_10-10-58_0000153.wav	2.1 s
10/04/24	10:11:02	2024-10-04_10-11-02_0000154.wav	3.1 s
10/04/24	10:11:04	2024-10-04_10-11-04_0000155.wav	2.1 s
10/04/24	10:11:06	2024-10-04_10-11-06_0000156.wav	2.1 s
10/04/24	10:11:09	2024-10-04_10-11-09_0000157.wav	2.1 s
10/04/24	10:11:17	2024-10-04_10-11-17_0000158.wav	2.1 s
10/04/24	10:11:22	2024-10-04_10-11-22_0000159.wav	2.1 s
10/04/24	10:11:25	2024-10-04_10-11-25_0000160.wav	2.1 s
10/04/24	10:11:30	2024-10-04_10-11-30_0000161.wav	2.1 s
10/04/24	10:11:34	2024-10-04_10-11-34_0000162.wav	2.1 s
10/04/24	10:11:36	2024-10-04_10-11-36_0000163.wav	2.9 s
10/04/24	10:11:45	2024-10-04_10-11-45_0000164.wav	2.1 s
10/04/24	10:11:47	2024-10-04_10-11-47_0000165.wav	2.4 s
10/04/24	10:11:50	2024-10-04_10-11-50_0000166.wav	2.5 s
10/04/24	10:11:56	2024-10-04_10-11-56_0000167.wav	2.1 s
10/04/24	10:11:57	2024-10-04_10-11-57_0000168.wav	2.1 s
10/04/24	10:12:00	2024-10-04_10-12-00_0000169.wav	3.0 s
10/04/24	10:12:07	2024-10-04_10-12-07_0000170.wav	2.1 s
10/04/24	10:12:10	2024-10-04_10-12-10_0000171.wav	2.1 s
10/04/24	10:12:26	2024-10-04_10-12-26_0000172.wav	2.6 s
10/04/24	10:12:29	2024-10-04_10-12-29_0000173.wav	2.3 s
10/04/24	10:12:35	2024-10-04_10-12-35_0000174.wav	2.1 s
10/04/24	10:12:39	2024-10-04_10-12-39_0000175.wav	2.1 s
10/04/24	10:12:52	2024-10-04_10-12-52_0000176.wav	2.1 s
10/04/24	10:13:03	2024-10-04_10-13-03_0000177.wav	2.1 s
10/04/24	10:13:15	2024-10-04_10-13-15_0000178.wav	2.1 s
10/04/24	10:13:16	2024-10-04_10-13-16_0000179.wav	2.1 s
10/04/24	10:13:20	2024-10-04_10-13-20_0000180.wav	2.4 s
10/04/24	10:13:34	2024-10-04_10-13-34_0000181.wav	2.1 s
10/04/24	10:13:36	2024-10-04_10-13-36_0000182.wav	2.1 s
10/04/24	10:13:38	2024-10-04_10-13-38_0000183.wav	2.1 s
10/04/24	10:13:51	2024-10-04_10-13-51_0000184.wav	2.1 s
10/04/24	10:13:53	2024-10-04_10-13-53_0000185.wav	2.1 s
10/04/24	10:13:57	2024-10-04_10-13-57_0000186.wav	2.1 s
10/04/24	10:14:01	2024-10-04_10-14-01_0000187.wav	2.1 s
10/04/24	10:14:04	2024-10-04_10-14-04_0000188.wav	2.1 s
10/04/24	10:14:06	2024-10-04_10-14-06_0000189.wav	2.1 s
10/04/24	10:14:09	2024-10-04_10-14-09_0000190.wav	2.1 s
10/04/24	10:14:15	2024-10-04_10-14-15_0000191.wav	3.1 s
10/04/24	10:14:18	2024-10-04_10-14-18_0000192.wav	2.1 s
10/04/24	10:14:21	2024-10-04_10-14-21_0000193.wav	2.3 s
10/04/24	10:14:23	2024-10-04_10-14-23_0000194.wav	2.1 s
10/04/24	10:14:55	2024-10-04_10-14-55_0000195.wav	2.1 s
10/04/24	10:14:57	2024-10-04_10-14-57_0000196.wav	2.1 s
10/04/24	10:15:05	2024-10-04_10-15-05_0000197.wav	2.6 s
10/04/24	10:15:09	2024-10-04_10-15-09_0000198.wav	2.6 s
10/04/24	10:15:31	2024-10-04_10-15-31_0000199.wav	2.1 s
10/04/24	10:15:41	2024-10-04_10-15-41_0000200.wav	2.1 s
10/04/24	10:15:51	2024-10-04_10-15-51_0000201.wav	2.1 s
10/04/24	10:16:04	2024-10-04_10-16-04_0000202.wav	3.2 s
10/04/24	10:16:10	2024-10-04_10-16-10_0000203.wav	2.1 s
10/04/24	10:16:22	2024-10-04_10-16-22_0000204.wav	2.1 s
10/04/24	10:16:26	2024-10-04_10-16-26_0000205.wav	2.1 s
10/04/24	10:16:31	2024-10-04_10-16-31_0000206.wav	2.4 s
10/04/24	10:16:53	2024-10-04_10-16-53_0000207.wav	3.2 s
10/04/24	10:17:00	2024-10-04_10-17-00_0000208.wav	3.0 s
10/04/24	10:17:04	2024-10-04_10-17-04_0000209.wav	2.1 s
10/04/24	10:17:21	2024-10-04_10-17-21_0000210.wav	2.1 s
10/04/24	10:17:23	2024-10-04_10-17-23_0000211.wav	2.1 s
10/04/24	10:17:25	2024-10-04_10-17-25_0000212.wav	2.6 s
10/04/24	10:17:27	2024-10-04_10-17-27_0000213.wav	2.6 s
10/04/24	10:17:29	2024-10-04_10-17-29_0000214.wav	2.1 s
10/04/24	10:17:48	2024-10-04_10-17-48_0000215.wav	2.1 s
