Date,Session_ID,Phase,d_prime,criterion,hit_rate,fa_rate,median_rt,efficiency,total_trials,total_hits
2025-10-21,25,3,-1.410564200073025,-1.863553627701886,0.8766233766233766,0.9948979591836735,0.9941788663912804,92.83582089552239,173.0,67.0
2025-10-23,26,3,-1.6645496253644612,-1.7668641037557105,0.825,0.9953271028037384,0.9443503254772168,127.06122448979592,165.0,49.0
2025-10-27,27,3,-0.19305724892352127,-0.23755327670526333,0.5560747663551402,0.6308411214953271,0.945283530112988,72.50847457627118,173.0,59.0
2025-10-28,28,3,1.013090527684624,0.6628708397367606,0.43788819875776397,0.12111801242236025,0.9041111459166018,18.685714285714287,179.0,70.0
2025-10-29,29,3,0.5916671449010765,0.4171400673040942,0.4517241379310345,0.23793103448275862,0.6065936614477323,24.8,178.0,65.0
2025-11-02,30,3,0.0,-0.5519941213168881,0.7095238095238096,0.7095238095238096,0.797799998919686,45.75675675675676,178.0,74.0
2025-11-03,31,3,0.998547933634539,-0.24391985862925153,0.7713178294573644,0.3992248062015504,0.6877049766551977,26.67676767676768,179.0,99.0
2025-11-04,32,3,1.0801237007573712,-0.1059862961527333,0.7408759124087592,0.33211678832116787,0.7118625028914494,25.673267326732674,181.0,101.0
2025-11-06,33,3,0.33900813483501985,-0.1381660853960833,0.6208333333333333,0.4875,0.7126306544587635,53.513513513513516,177.0,74.0
2025-11-09,34,3,0.09575952033123297,-0.31301005417425454,0.6409090909090909,0.6045454545454545,0.7651978655962353,48.98571428571429,175.0,70.0
2025-11-10,35,3,-0.38561729191856564,-0.5550499488040194,0.6414141414141414,0.7727272727272727,0.6849924007074151,63.523809523809526,174.0,63.0
2025-11-11,1,4,0.9931115513993869,-0.09156442807598511,0.7217741935483871,0.34274193548387094,0.6974946157993145,34.70786516853933,165.0,89.0
2025-11-12,2,4,0.2186112153599855,0.04386863468532521,0.5260869565217391,0.4391304347826087,0.6459240008788356,34.46666666666667,164.0,60.0
2025-11-16,3,4,0.4550498685408772,-0.12664132816894694,0.6383928571428571,0.45982142857142855,0.7106495124829735,39.309859154929576,162.0,71.0
2025-11-18,4,4,0.7034279643687431,0.49240772540961963,0.44405594405594406,0.1993006993006993,0.6519751746742486,25.650793650793652,170.0,63.0
2025-11-19,5,4,0.1003349065794355,-0.2811766049565976,0.6298076923076923,0.5913461538461539,0.6266355008801838,61.815384615384616,164.0,65.0
2025-11-20,6,4,0.430538715584186,0.4129645109562897,0.4216417910447761,0.26492537313432835,0.6744261414406765,44.714285714285715,168.0,56.0
2025-11-23,7,4,0.17039264600263937,0.2307198765311122,0.44214876033057854,0.3760330578512397,0.6677807525429102,41.905660377358494,165.0,53.0
2025-11-24,8,4,-0.11398684149710492,-0.4171233125381219,0.640625,0.6822916666666666,0.8357892645428535,34.63934426229508,160.0,61.0
