Date,Session_ID,Phase,Bin_ID,d_prime,criterion,hit_rate,fa_rate,median_rt,efficiency,total_trials,total_hits
2025-10-09,19,3,4,-0.9155965317203149,-1.3449448248790334,0.8125,0.9642857142857143,0.4946668773205829,49.333333333333336,20.0,6.0
2025-10-09,19,3,5,-1.606003049267171,-0.9286628714886598,0.55,0.9583333333333334,0.4297794716312637,48.2,20.0,5.0
2025-10-09,19,3,6,-0.08681076917077313,-1.6882590115368588,0.95,0.9583333333333334,0.5293815548113798,36.55555555555556,20.0,9.0
2025-10-09,19,3,7,0.6922945174961461,-0.1782532539599676,0.7,0.43333333333333335,0.5073210382951174,27.2,20.0,10.0
2025-10-09,19,3,8,-0.8317100164116327,-0.7344943721701915,0.625,0.875,0.6101533897513036,26.5,6.0,2.0
2025-10-15,20,3,0,-1.6523034731737267,-1.0365801308347882,0.5833333333333334,0.96875,1.0886395153226829,102.66666666666667,20.0,3.0
2025-10-15,20,3,1,-0.3686808431303916,-1.6495742142507188,0.9285714285714286,0.9666666666666667,0.9926904040881936,97.5,20.0,6.0
2025-10-15,20,3,2,-0.9705099447511286,-1.4526765384772653,0.8333333333333334,0.9736842105263158,0.3731411999225429,140.0,20.0,2.0
2025-10-15,20,3,3,-1.9379315108528297,-0.9689657554264148,0.5,0.9736842105263158,1.504572906451358,238.0,20.0,1.0
2025-10-15,20,3,4,-0.6079583947888296,-1.5855307629390152,0.9,0.9705882352941176,1.5134537026440285,146.0,20.0,4.0
2025-10-15,20,3,5,-1.3139666796245213,-1.1457597509269302,0.6875,0.9642857142857143,1.3644263168662292,97.0,20.0,5.0
2025-10-15,20,3,6,-1.3651094476253893,-1.2069552365207352,0.7,0.9705882352941176,1.0599592326727816,104.0,20.0,3.0
2025-10-15,20,3,7,-1.592314696491266,-1.0065857424935578,0.5833333333333334,0.9642857142857143,2.041427019060848,74.0,18.0,3.0
2025-10-16,21,3,0,-0.9705099447511286,-1.4526765384772653,0.8333333333333334,0.9736842105263158,0.933028174882054,168.0,20.0,2.0
2025-10-16,21,3,1,-1.3139666796245213,-1.1457597509269302,0.6875,0.9642857142857143,0.4511200848313024,81.0,20.0,5.0
2025-10-16,21,3,2,-1.0571746459261635,-1.2030770731591636,0.75,0.9583333333333334,0.9482540526166758,87.28571428571429,20.0,7.0
2025-10-16,21,3,3,-1.04227602807254,-1.3127766217796446,0.7857142857142857,0.9666666666666667,0.4996481176810903,104.2,20.0,5.0
2025-10-16,21,3,4,-0.17560622049565655,-1.6810219282708783,0.9444444444444444,0.9615384615384616,0.7107095423061764,56.875,20.0,8.0
2025-10-16,21,3,5,-0.2686225463866445,-1.6684318175458686,0.9375,0.9642857142857143,1.819341705802572,51.57142857142857,20.0,7.0
2025-10-16,21,3,6,-0.47973774032101346,-1.6228629972611448,0.9166666666666666,0.96875,1.3062042170879522,71.2,20.0,5.0
2025-10-16,21,3,7,-0.47973774032101346,-1.6228629972611448,0.9166666666666666,0.96875,0.4374610540919548,69.4,20.0,5.0
2025-10-16,21,3,8,1.468988744340383,0.41585500820581633,0.625,0.125,1.0368109208855003,23.0,3.0,2.0
2025-10-16,22,3,0,-1.18824211722557,-1.2686108088088666,0.75,0.96875,0.9357911630472766,141.25,20.0,4.0
2025-10-16,22,3,1,-1.88950996033343,-0.944754980166715,0.5,0.9705882352941176,1.0857579769946994,141.5,20.0,2.0
2025-10-16,22,3,2,-2.9053530769545306,-0.4852549723755643,0.16666666666666666,0.9736842105263158,,,20.0,0.0
2025-10-16,22,3,3,-1.3139666796245213,-1.1457597509269302,0.6875,0.9642857142857143,1.2239592691254302,115.2,20.0,5.0
2025-10-16,22,3,4,-1.18824211722557,-1.2686108088088666,0.75,0.96875,1.0396176581481882,159.75,20.0,4.0
2025-10-16,22,3,5,-0.2686225463866445,-1.6684318175458686,0.9375,0.9642857142857143,0.8565439013159448,96.57142857142857,20.0,7.0
2025-10-16,22,3,6,-0.6079583947888296,-1.5855307629390152,0.9,0.9705882352941176,1.6814453061053882,139.0,20.0,4.0
2025-10-16,22,3,7,-1.04227602807254,-1.3127766217796446,0.7857142857142857,0.9666666666666667,1.0969070115877455,131.0,20.0,5.0
2025-10-16,22,3,8,-1.3489795003921634,-0.0,0.25,0.75,,,2.0,0.0
2025-10-19,23,3,0,-0.3686808431303916,-1.6495742142507188,0.9285714285714286,0.9666666666666667,1.323346490193888,108.66666666666667,20.0,6.0
2025-10-19,23,3,1,-1.3651094476253893,-1.2069552365207352,0.7,0.9705882352941176,0.7776730074740783,127.0,20.0,3.0
2025-10-19,23,3,2,-0.3686808431303916,-1.6495742142507188,0.9285714285714286,0.9666666666666667,1.3576987293317586,123.33333333333333,20.0,6.0
2025-10-19,23,3,3,-0.9155965317203149,-1.3449448248790334,0.8125,0.9642857142857143,1.0855521552363712,94.33333333333333,20.0,6.0
2025-10-19,23,3,4,-0.6079583947888296,-1.5855307629390152,0.9,0.9705882352941176,0.5660811678859545,143.25,20.0,4.0
2025-10-19,23,3,5,-1.4678082790153448,-1.1000104963082422,0.6428571428571429,0.9666666666666667,1.0245636593377867,143.5,20.0,4.0
2025-10-19,23,3,6,-0.47973774032101346,-1.6228629972611448,0.9166666666666666,0.96875,0.4051804751463805,135.0,20.0,5.0
2025-10-19,23,3,7,-1.1793692406689282,-1.1791404181842424,0.7222222222222222,0.9615384615384616,1.693658279580518,96.83333333333333,20.0,6.0
2025-10-19,23,3,8,-1.3489795003921634,-0.0,0.25,0.75,,,2.0,0.0
2025-10-20,24,3,0,-0.3686808431303916,-1.6495742142507188,0.9285714285714286,0.9666666666666667,0.3515020559193829,109.66666666666667,20.0,6.0
2025-10-20,24,3,1,-1.04227602807254,-1.3127766217796446,0.7857142857142857,0.9666666666666667,1.056908107553852,94.4,20.0,5.0
2025-10-20,24,3,2,-0.17560622049565655,-1.6810219282708783,0.9444444444444444,0.9615384615384616,0.9598367392515001,126.5,20.0,8.0
2025-10-20,24,3,3,-0.08681076917077313,-1.6882590115368588,0.95,0.9583333333333334,0.669676015497771,107.77777777777777,20.0,9.0
2025-10-20,24,3,4,-0.17560622049565655,-1.6810219282708783,0.9444444444444444,0.9615384615384616,0.6791399292121696,113.5,20.0,8.0
2025-10-20,24,3,5,-0.6952310066284555,-1.3840488928080177,0.85,0.9583333333333334,0.7945242722092871,104.25,20.0,8.0
2025-10-20,24,3,6,-0.2686225463866445,-1.6684318175458686,0.9375,0.9642857142857143,0.6389557232396328,102.0,20.0,7.0
2025-10-20,24,3,7,0.0,-0.8122178014999129,0.7916666666666666,0.7916666666666666,0.8266143823752827,67.0,20.0,9.0
2025-10-20,24,3,8,-1.326214262987097,-0.9817464954579237,0.625,0.95,2.169031569368485,112.0,12.0,2.0
2025-10-21,25,3,0,-0.2686225463866445,-1.6684318175458686,0.9375,0.9642857142857143,1.574357647888661,124.14285714285714,20.0,7.0
2025-10-21,25,3,1,-1.1793692406689282,-1.1791404181842424,0.7222222222222222,0.9615384615384616,0.9817159313962803,114.16666666666667,20.0,6.0
2025-10-21,25,3,2,-1.0571746459261635,-1.2030770731591636,0.75,0.9583333333333334,0.9349245921417264,104.42857142857143,20.0,7.0
2025-10-21,25,3,3,-0.6952310066284555,-1.3840488928080177,0.85,0.9583333333333334,0.9735408243799952,91.875,20.0,8.0
2025-10-21,25,3,4,0.0,-1.6906216295848986,0.9545454545454546,0.9545454545454546,0.8733468111453249,74.4,20.0,10.0
2025-10-21,25,3,5,-0.17560622049565655,-1.6810219282708783,0.9444444444444444,0.9615384615384616,0.6295189915662149,82.125,20.0,8.0
2025-10-21,25,3,6,-0.6952310066284555,-1.3840488928080177,0.85,0.9583333333333334,0.9526478382206278,94.375,20.0,8.0
2025-10-21,25,3,7,-0.6952310066284555,-1.3840488928080177,0.85,0.9583333333333334,1.6364727976753102,84.25,20.0,8.0
2025-10-21,25,3,8,-0.39837014790420644,-0.6879614850667728,0.6875,0.8125,1.799591013900681,74.0,13.0,5.0
2025-10-23,26,3,0,-1.4678082790153448,-1.1000104963082422,0.6428571428571429,0.9666666666666667,0.8562249763911964,111.5,20.0,4.0
2025-10-23,26,3,1,-1.1793692406689282,-1.1791404181842424,0.7222222222222222,0.9615384615384616,0.8330940443038628,116.33333333333333,20.0,6.0
2025-10-23,26,3,2,-1.4678082790153448,-1.1000104963082422,0.6428571428571429,0.9666666666666667,1.1962615216335735,173.75,20.0,4.0
2025-10-23,26,3,3,-0.2686225463866445,-1.6684318175458686,0.9375,0.9642857142857143,0.6452953580668463,131.0,20.0,7.0
2025-10-23,26,3,4,-1.1793692406689282,-1.1791404181842424,0.7222222222222222,0.9615384615384616,1.3338218007315845,98.5,20.0,6.0
2025-10-23,26,3,5,-1.04227602807254,-1.3127766217796446,0.7857142857142857,0.9666666666666667,0.9557654141856348,152.6,20.0,5.0
2025-10-23,26,3,6,-0.17560622049565655,-1.6810219282708783,0.9444444444444444,0.9615384615384616,1.0839267623139222,117.0,20.0,8.0
2025-10-23,26,3,7,-0.2686225463866445,-1.6684318175458686,0.9375,0.9642857142857143,0.659926309035427,135.0,20.0,7.0
2025-10-23,26,3,8,0.0,-0.31863936396437514,0.625,0.625,0.6586744123535482,117.5,5.0,2.0
2025-10-27,27,3,0,-0.17560622049565655,-1.6810219282708783,0.9444444444444444,0.9615384615384616,0.6594504942590476,110.875,20.0,8.0
2025-10-27,27,3,1,-0.7075843458858376,-0.45842562855699404,0.5416666666666666,0.7916666666666666,0.8820056323287133,110.83333333333333,20.0,6.0
2025-10-27,27,3,2,0.338131578876095,-0.9812835909379604,0.875,0.7916666666666666,0.5063601769056731,89.1,20.0,10.0
2025-10-27,27,3,3,-0.9155965317203149,-1.3449448248790334,0.8125,0.9642857142857143,1.4034981983441526,88.0,20.0,6.0
2025-10-27,27,3,4,-0.35650650791993543,0.34614725874807317,0.3,0.43333333333333335,0.764339214575898,60.0,20.0,4.0
2025-10-27,27,3,5,0.0,-0.8122178014999129,0.7916666666666666,0.7916666666666666,1.0426918295299856,59.111111111111114,20.0,9.0
2025-10-27,27,3,6,0.6512057259262476,0.5360312572110485,0.4166666666666667,0.19444444444444445,1.1633463521511658,25.142857142857142,20.0,7.0
2025-10-27,27,3,7,0.0,0.40225006532172536,0.34375,0.34375,1.5904207228250016,54.4,20.0,5.0
2025-10-27,27,3,8,0.8026544064924375,0.797052499060706,0.34615384615384615,0.11538461538461539,1.2913575389807193,21.75,13.0,4.0
2025-10-28,28,3,0,1.1522244407675581,-0.6657545714595415,0.8928571428571429,0.5357142857142857,0.8191257385991211,39.916666666666664,20.0,12.0
