wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-09-30_12-00-17_0000391,1.20354,1.25154,0.048,56.25,78.125,0.57839024066925
2024-09-30_12-00-17_0000391,1.30450833333333,1.33010833333333,0.0256000000000001,90.3125,102.1875,0.516021728515625
2024-09-30_12-00-17_0000391,1.33314,1.43570833333333,0.102568333333333,45.9375,78.125,0.64975494146347
2024-09-30_12-00-17_0000391,1.51250833333333,1.58450833333333,0.0720000000000001,51.875,87.1875,0.697792530059814
2024-09-30_12-19-52_0000494,1.68744166666667,1.70984166666667,0.0224,60.3125,71.25,0.537129759788513
2024-09-30_12-19-52_0000494,1.82344166666667,1.85064166666667,0.0271999999999999,57.8125,77.5,0.727125108242035
2024-09-30_12-19-52_0000494,2.77240055555556,2.79800055555555,0.0255999999999998,94.0625,110,0.537324607372284
2024-09-30_12-22-18_0000504,1.00174916666667,1.16494916666667,0.1632,57.1875,104.6875,0.665185272693634
2024-09-30_12-22-18_0000504,1.20654916666667,1.43862208333333,0.232072916666667,33.75,106.875,0.683289229869843
2024-09-30_12-22-18_0000504,1.48022208333333,1.57622208333333,0.0959999999999999,35.625,104.0625,0.651916682720184
2024-09-30_12-22-18_0000504,1.59542208333333,1.710695,0.115272916666667,50,65.3125,0.675231099128723
2024-09-30_12-22-18_0000504,1.761895,1.793895,0.032,46.875,61.25,0.680432915687561
2024-09-30_12-22-18_0000504,1.803495,1.849895,0.0464,56.875,68.75,0.558278620243073
2024-09-30_12-22-18_0000504,1.997095,2.141095,0.144,41.5625,102.5,0.631824135780334
2024-09-30_12-22-18_0000504,2.19236791666667,2.25796791666667,0.0655999999999999,40.3125,105.3125,0.62776255607605
2024-09-30_12-22-18_0000504,2.26116791666667,2.30596791666667,0.0448,55.625,64.375,0.679873287677765
2024-09-30_12-22-18_0000504,2.36196791666667,2.40676791666667,0.0448,56.875,85.3125,0.560309290885925
2024-09-30_12-22-18_0000504,2.48196791666667,2.53164083333333,0.0496729166666663,59.6875,86.25,0.619941294193268
2024-09-30_12-33-18_0000567,1.00530696969697,1.14770696969697,0.1424,49.375,75.9375,0.757829248905182
2024-09-30_12-33-18_0000567,1.20530696969697,1.41330696969697,0.208,37.5,92.8125,0.666556537151337
2024-09-30_12-33-18_0000567,1.45755878787879,1.59195878787879,0.1344,38.75,104.0625,0.652787983417511
2024-09-30_12-33-18_0000567,1.65435878787879,1.79355878787879,0.1392,34.6875,82.8125,0.629301428794861
2024-09-30_12-33-18_0000567,1.98661060606061,2.03141060606061,0.0448,58.75,73.125,0.781886458396912
2024-09-30_12-33-18_0000567,2.07301060606061,2.29486242424242,0.221851818181818,35.3125,100.3125,0.676170885562897
2024-09-30_12-33-18_0000567,2.34926242424242,2.54286242424242,0.1936,34.6875,99.6875,0.670509457588196
