id,umap_x,umap_y,syllable_type
2.0,11.579927,8.417238,Complex
3.0,5.1120563,9.455067,Flat
1.0,5.464807,9.816842,Short
2.0,4.6259007,7.5926175,Up
1.0,11.371304,8.355258,Short
1.0,12.398648,10.358142,Chevron
2.0,5.32632,9.686844,Flat
3.0,3.6046922,6.8733487,Short
1.0,11.122405,8.452513,Up
1.0,4.6171775,7.64171,Flat
2.0,4.679512,9.450763,Short
1.0,4.934784,9.712053,Flat
1.0,5.1292315,9.746388,Flat
2.0,5.1647496,9.797964,Flat
3.0,4.4339585,9.082501,Flat
1.0,1.9558717,5.063948,Short
2.0,4.140703,8.69036,Short
1.0,1.105636,4.045946,Short
1.0,0.9540518,4.130104,Flat
2.0,3.6649117,7.161928,Short
1.0,2.7772567,4.4002347,Short
1.0,5.065073,9.706836,Up
2.0,5.248338,9.390506,Up
3.0,4.976422,9.756909,Up
4.0,1.346893,3.6777024,Short
5.0,2.3809206,3.6156566,Flat
1.0,4.255518,8.829816,Up
2.0,4.091519,7.883598,Down
3.0,4.238163,8.93768,Flat
4.0,5.5355372,9.843762,Chevron
1.0,17.041622,8.426174,Short
1.0,11.74612,8.458271,Down
1.0,2.7943833,4.516517,Short
1.0,5.668885,7.787535,Down
2.0,4.1650867,6.690134,Flat
3.0,5.1669188,7.683916,Up
4.0,1.5424027,3.7794127,Short
5.0,3.485713,3.876912,Flat
1.0,4.962397,9.096459,Flat
1.0,5.006251,9.690962,Up
2.0,5.1518083,9.760847,Flat
3.0,4.8941674,6.6323385,Up
4.0,2.3322065,3.5601842,Short
1.0,3.79851,6.7499137,Flat
1.0,13.889508,7.1201777,Chevron
1.0,17.088776,8.38835,Short
1.0,10.120733,7.6185746,Short
2.0,2.4176075,3.179246,Short
1.0,13.19241,9.112316,Chevron
1.0,11.556863,7.619079,Up
2.0,12.730119,9.538145,Chevron
1.0,3.6776738,6.0822263,Flat
1.0,6.259178,7.378821,Down
2.0,12.842542,10.172783,Chevron
