stem,detection_idx,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window
2024-10-08_02-35-31_0005245,0,1.0120533333333332,1.05472,0.04266666666666685,0.8888064026832581,0.7975661266933788,100,2320,2420
2024-10-08_02-35-31_0005245,1,2.00192,2.05312,0.05119999999999969,0.9779767394065857,0.8980830403474661,120,4640,4760
2024-10-08_02-51-58_0005307,0,0.5597866666666667,0.60672,0.04693333333333338,0.9381486177444458,0.8110346620281538,110,1260,1370
2024-10-08_02-59-32_0005329,0,1.0333866666666667,1.0717866666666667,0.03839999999999999,0.8721284866333008,0.7946131348609924,90,2370,2460
2024-10-08_03-02-20_0005353,0,1.0077866666666666,1.0461866666666666,0.03839999999999999,0.876105785369873,0.7998263776302338,90,2310,2400
2024-10-08_03-12-03_0005386,0,1.01632,1.0504533333333332,0.03413333333333335,0.8835132718086243,0.8617138862609863,80,2330,2410
2024-10-08_03-53-02_0005538,0,1.0120533333333332,1.0632533333333334,0.051200000000000134,0.9916852712631226,0.9035652875900269,120,2320,2440
2024-10-08_08-46-26_0005777,0,0.9693866666666666,1.0205866666666668,0.051200000000000134,0.9492620825767517,0.8281949437581576,120,2220,2340
2024-10-08_10-05-28_0005922,0,1.02912,1.06752,0.03839999999999999,0.8847765326499939,0.8069619774818421,90,2360,2450
2024-10-08_15-19-32_0006128,0,0.9693866666666666,1.05472,0.08533333333333348,0.9994592070579529,0.9557548846517291,200,2220,2420
2024-10-08_19-46-38_0006741,0,1.0077866666666666,1.0461866666666666,0.03839999999999999,0.8636040091514587,0.8091381788253784,90,2310,2400
2024-10-08_20-31-07_0006846,0,2.1128533333333333,2.1981866666666665,0.08533333333333326,0.9788548350334167,0.7582691212495168,200,4900,5100
2024-10-08_20-31-07_0006846,1,3.0600533333333333,3.1325866666666666,0.07253333333333334,0.9838555455207825,0.8619233121474584,170,7120,7290
2024-10-08_20-31-07_0006846,2,3.661653333333333,3.7000533333333334,0.03840000000000021,0.8884588479995728,0.8291368275880814,90,8530,8620
2024-10-08_20-31-15_0006847,0,0.9949866666666667,1.04192,0.04693333333333327,0.9748108386993408,0.9022141396999359,110,2280,2390
2024-10-08_20-42-43_0006873,0,1.0973866666666667,1.1485866666666666,0.05119999999999991,0.9379101395606995,0.8236531477708083,120,2520,2640
2024-10-08_20-52-03_0006883,0,0.5640533333333333,0.69632,0.13226666666666675,0.9674081802368164,0.6971313804388046,310,1270,1580
2024-10-08_20-52-03_0006883,1,1.4856533333333333,1.7160533333333334,0.23040000000000016,0.9361215829849243,0.5778273571621287,540,3430,3970
2024-10-08_21-01-52_0006909,0,1.1997866666666666,1.24672,0.04693333333333349,0.9415189623832703,0.8513637731472651,110,2760,2870
2024-10-08_21-01-52_0006909,1,3.08992,3.2136533333333333,0.12373333333333303,0.9404811859130859,0.7455062886079152,290,7190,7480
2024-10-08_21-01-52_0006909,2,3.2648533333333334,3.303253333333333,0.03839999999999977,0.8860688805580139,0.8453162610530853,90,7600,7690
2024-10-08_21-02-23_0006911,0,1.00352,1.04192,0.03839999999999999,0.8854678273200989,0.8471643388271332,90,2300,2390
2024-10-08_21-43-11_0006995,0,0.41045333333333334,0.5000533333333333,0.08960000000000001,0.9803830981254578,0.7867607244036414,210,910,1120
2024-10-08_21-50-08_0007020,0,1.00352,1.04192,0.03839999999999999,0.8831910490989685,0.8243766546249389,90,2300,2390
2024-10-08_21-50-53_0007023,0,0.76032,0.8456533333333334,0.08533333333333337,0.958490788936615,0.7649613093762171,200,1730,1930
2024-10-08_21-50-53_0007023,1,0.95232,1.0248533333333334,0.07253333333333334,0.9909999966621399,0.8904229932361178,170,2180,2350
2024-10-08_21-55-59_0007039,0,0.15445333333333333,0.19712,0.04266666666666666,0.9103543758392334,0.8077289164066315,100,310,410
2024-10-08_21-55-59_0007039,1,0.36778666666666665,0.4189866666666667,0.05120000000000002,0.9199031591415405,0.784619574363415,120,810,930
2024-10-08_21-59-58_0007053,0,0.7133866666666666,0.79872,0.08533333333333337,0.928182065486908,0.8317646668070838,200,1620,1820
2024-10-08_22-28-40_0007113,0,1.6136533333333334,1.6605866666666667,0.04693333333333327,0.9783832430839539,0.9217909028132757,110,3730,3840
2024-10-08_22-30-21_0007124,0,0.96512,1.0589866666666667,0.09386666666666676,0.9866837859153748,0.8213502583296403,220,2210,2430
2024-10-08_22-30-51_0007129,0,0.28245333333333333,0.3165866666666667,0.03413333333333335,0.8777294754981995,0.832945360077752,80,610,690
2024-10-08_22-30-51_0007129,1,0.5000533333333333,0.5469866666666666,0.04693333333333327,0.966413676738739,0.9014158447583517,110,1120,1230
2024-10-08_22-30-51_0007129,2,0.6493866666666667,0.7176533333333334,0.0682666666666667,0.9968826770782471,0.9222349945236655,160,1470,1630
2024-10-08_22-30-51_0007129,3,0.79872,0.8456533333333334,0.04693333333333338,0.9725140929222107,0.9089642316102982,110,1820,1930
2024-10-08_22-38-57_0007144,0,1.8824533333333333,1.9208533333333333,0.03839999999999999,0.8429443836212158,0.7788054466247558,90,4360,4450
2024-10-08_22-39-46_0007148,0,0.9608533333333333,0.99072,0.029866666666666708,0.8826962113380432,0.7893800809979439,70,2200,2270
2024-10-08_22-42-50_0007153,0,0.69632,0.7432533333333333,0.04693333333333327,0.9563654065132141,0.8740670879681905,110,1580,1690
2024-10-08_22-45-13_0007163,0,0.8072533333333334,0.8840533333333334,0.07679999999999998,0.9837851524353027,0.9348121222696806,180,1840,2020
2024-10-08_22-45-13_0007163,1,0.93952,1.0760533333333333,0.13653333333333328,0.9995638728141785,0.961036255865386,320,2150,2470
2024-10-08_22-45-13_0007163,2,1.1229866666666666,1.2125866666666667,0.08960000000000012,0.9997579455375671,0.9646637114611539,210,2580,2790
2024-10-08_22-45-21_0007165,0,1.75872,1.8568533333333332,0.09813333333333318,0.9715659022331238,0.7021325243016084,230,4070,4300
2024-10-08_23-18-40_0007229,0,0.15018666666666666,0.20138666666666666,0.051199999999999996,0.9423199892044067,0.812828582066756,120,300,420
2024-10-08_23-18-40_0007229,1,0.74752,0.77312,0.025600000000000067,0.8619323968887329,0.7444683398519244,60,1700,1760
2024-10-08_23-30-36_0007231,0,0.47872,0.54272,0.064,0.9557085037231445,0.8288471885025501,150,1070,1220
2024-10-08_23-45-01_0007248,0,1.0120533333333332,1.0461866666666666,0.03413333333333335,0.8356135487556458,0.6618670357598199,80,2320,2400
2024-10-09_00-01-01_0007276,0,0.5640533333333333,0.5981866666666666,0.03413333333333335,0.8572424650192261,0.6879919336901771,80,1270,1350
2024-10-09_00-53-06_0007386,0,0.17152,0.23125333333333334,0.05973333333333333,0.9414406418800354,0.8409525513648987,140,350,490
